TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20020101,-8.85,22.505,109.86,0.63,43.87645833,32.87729167,393.291,0.408684,-15.4632,-1.38934,0.9375,0,1.38934
20020102,-8.699,20.913,110.475,0.662,41.00208333,27.92145833,403.783,0.764895,-15.7797,-1.35749,0.9375,0,1.35749
20020103,-9.459,18.539,111.147,0.512,43.77729167,28.181875,408.394,0.395484,-15.8376,-1.62179,0.9375,0,1.62179
20020104,-9.098,20.125,111.878,0.403,47.58979167,28.11770833,418.94,0.791687,-15.4283,-1.48901,0.916667,0,1.48901
20020105,-8.489,22.141,112.667,0.346,50.54645833,30.496875,422.403,1.11602,-16.8238,-1.07113,0.9375,0,1.07113
20020106,-7.825,26.012,113.516,0.356,57.9,32.05458333,428.43,0.862391,-14.2524,-0.444707,0.895833,0,0.444707
20020107,-6.963,31.619,114.421,0.416,58.690625,32.00979167,424.431,0.856757,-13.2187,-0.139011,0.875,0.122522,0.261533
20020108,-7.812,34.609,115.385,0.481,69.01,40.99854167,428.757,0.768403,-12.8967,-0.354944,0.9375,0.37501,0.729954
20020109,-7.018,30.587,116.407,0.485,63.39333333,28.97916667,421.989,0.713634,-13.7924,0.28926,0.875,0.712388,0.423127
20020110,-7.539,31.574,117.487,0.504,64.625625,29.295625,423.224,0.98069,-10.6616,-0.268907,0.875,0.934612,1.20352
20020111,-8.109,27.77,118.623,0.381,65.564375,34.94083333,451.6,1.20711,-9.63707,1.0663,0.895833,1.12457,0.0582698
20020112,-5.246,40.563,119.817,0.401,82.015,68.40791667,458.524,0.874862,-9.51536,1.80592,0.75,1.9964,0.190486
20020113,-5.518,43.999,121.068,0.34,74.91354167,41.13145833,457.671,0.996531,-10.2151,1.57245,0.979167,2.29086,0.718405
20020114,-6.979,39.181,122.376,0.444,74.29333333,34.335625,454.861,0.799677,-10.4903,1.57632,0.9375,2.02218,0.445864
20020115,-8.097,39.807,123.74,0.397,75.36666667,33.82208333,464.004,0.901898,-12.9035,2.0305,0.895833,1.59178,-0.438722
20020116,-6.92,43.998,125.16,0.387,78.50291667,37.33145833,467.002,1.16028,-10.607,1.21837,0.6875,1.675,0.456629
20020117,-6.812,47.318,126.635,0.378,90.63083333,44.28125,462.337,0.663158,-9.79803,-0.429445,0.25,1.52073,1.95018
20020118,-6.492,44.463,128.166,0.677,85.46708333,35.568125,446.955,1.40045,-10.5983,0.369704,0.583333,1.40592,1.03621
20020119,-3.343,37.488,129.752,1.07,85.038125,84.88333333,424.183,1.64745,-14.7798,1.72167,0.8125,1.72917,0.00750056
