TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20050101,10.003,18.695,80.8341,0.822,-9999,-9999,371.713,0.119095,11.0368,3.18774,0,0.918222,-2.17831
20050102,10.003,18.695,81.4213,0.822,-9999,-9999,366.686,0.279153,-24.7177,1.90138,0,0.811929,-1.12294
20050103,10.003,18.695,82.0657,0.822,-9999,-9999,369.741,-0.211798,-36.4743,1.51947,0,0.836309,-0.654748
20050104,8.151,23.753,82.7668,1.08,-9999,-9999,367.842,0.105764,59.6993,3.18774,0,0.865929,-2.23157
20050105,8.99,13.356,83.5243,1,-9999,-9999,365.905,-0.0636426,5.91472,1.90138,0,0.840806,-1.09365
20050106,10.043,18.591,84.3391,0.84,-9999,-9999,365.874,-0.639388,-13.3425,1.51947,0,0.885864,-0.604409
20050107,8.151,23.753,85.211,1.08,-9999,-9999,363.301,0.745913,28.4781,3.18774,0,1.04036,-2.05372
20050108,8.99,13.356,86.1394,1,-9999,-9999,360.279,2.91418,51.2967,1.90138,0,0.966391,-0.965767
20050109,10.043,18.591,87.1247,0.84,-9999,-9999,361.972,0.895434,20.9107,1.51947,0,0.907723,-0.582109
20050110,8.151,23.753,88.1669,1.08,-9999,-9999,361.277,-0.408933,15.5163,3.18774,0,1.06339,-2.03021
20050111,8.99,13.356,89.2659,1,-9999,-9999,362.347,-1.5745,12.689,3.14552,0,1.03749,-1.95412
20050112,10.043,18.591,90.4215,0.84,-9999,-9999,369.121,-0.660725,-2.07684,2.93446,0,0.944709,-1.81144
20050113,8.151,23.753,91.634,1.08,-9999,-9999,381.912,3.86015,-8.58081,2.99581,0.625,0.779322,-1.93632
20050114,8.99,13.356,92.9031,1,-9999,-9999,388.831,4.97533,23.644,0.152181,0.854167,0.629989,0.325717
20050115,10.043,18.591,94.2286,0.84,-9999,-9999,379.505,3.83379,-1.59325,1.16936,0.958333,0.578764,-0.604387
20050116,8.151,23.753,95.6102,1.08,-9999,-9999,380.58,1.52237,-16.1536,1.72925,1,0.635842,-0.955816
20050117,8.99,13.356,97.0482,1,-9999,-9999,367.545,1.85631,-1.68951,2.08252,0.708333,0.870294,-1.07227
20050118,10.043,18.591,98.5427,0.84,-9999,-9999,360.98,3.03227,-38.1885,1.48021,0.958333,0.768746,-0.723465
20050119,8.151,23.753,100.093,1.08,-9999,-9999,361.779,4.30787,-9.6866,2.02997,1,0.765855,-1.27629
20050120,8.99,13.356,101.698,1,-9999,-9999,356.367,6.09438,-28.1405,2.47684,1,0.989699,-1.49553
20050121,10.043,18.591,103.36,0.84,-9999,-9999,356.868,4.74048,-62.2705,1.60531,1,0.809211,-0.807634
20050122,8.151,23.753,105.076,1.08,-9999,-9999,362.162,4.95027,-6.52852,0.715323,0.770833,0.699997,-0.00423357
20050123,8.99,13.356,106.847,1,-9999,-9999,364.523,6.17847,-23.7463,-0.376734,0.708333,0.64308,1.00645
20050124,10.043,18.591,108.672,0.84,-9999,-9999,362.845,3.75367,-33.5529,0.354015,0.958333,0.583976,0.279262
20050125,8.151,23.753,110.552,1.08,-9999,-9999,369.216,4.29807,-6.67165,1.31608,1,0.497458,-0.71267
20050126,8.99,13.356,112.485,1,-9999,-9999,370.188,1.47334,2.3077,1.09289,0.875,0.486808,-0.627744
20050127,10.043,18.591,114.472,0.84,-9999,-9999,406.589,0.205383,-5.28658,2.28532,0.395833,0.56693,-1.7999
20050128,8.151,23.753,116.512,1.08,-9999,-9999,400.266,0.588782,4.93788,1.60617,0.5,0.632949,-0.966581
20050129,8.99,13.356,118.604,1,-9999,-9999,394.557,6.06754,18.2103,1.58448,0.895833,0.587594,-1.15311
20050130,10.043,18.591,120.747,0.84,-9999,-9999,365.086,1.35572,-5.9337,1.59999,1,0.757751,-1.115
20050131,8.151,23.753,122.943,1.08,-9999,-9999,363.717,0.164145,-12.6395,2.01812,1,0.822706,-1.20675
20050201,8.99,13.356,125.189,1,-9999,-9999,359.443,4.56581,5.8249,0.6515,1,0.775269,0.195402
20050202,10.043,18.591,127.485,0.84,-9999,-9999,357.261,2.35741,-22.3841,1.31616,1,0.808372,-0.519391
20050203,8.151,23.753,129.831,1.08,-9999,-9999,361.547,3.89992,-6.72638,1.20849,0.729167,0.821835,-0.366902
20050204,8.99,13.356,132.226,1,-9999,-9999,378.85,2.4296,9.4766,0.84824,0.354167,0.789844,-0.00423024
20050205,10.043,18.591,134.668,0.84,-9999,-9999,374.526,3.04318,2.93373,0.243586,1,0.66406,0.407327
20050206,8.151,23.753,137.159,1.08,-9999,-9999,372.341,5.45968,16.4511,-0.0273652,0.791667,0.729073,0.605272
20050207,8.99,13.356,139.696,1,-9999,-9999,397.535,3.69867,22.3645,-0.0287534,0.333333,0.551104,0.566246
20050208,10.043,18.591,142.279,0.84,-9999,-9999,420.625,1.84229,10.9744,0.657365,0.375,0.602792,-0.0676817
20050209,8.151,23.753,144.906,1.08,-9999,-9999,387.12,1.8414,9.21476,0.735848,0.833333,0.80316,0.0559594
20050210,8.99,13.356,147.578,1,-9999,-9999,364.531,0.375942,19.6733,2.15084,1,0.914623,-1.24607
20050211,10.043,18.591,150.294,0.84,-9999,-9999,368.491,1.51863,-17.4919,1.39151,0.729167,0.909956,-0.491495
20050212,8.151,23.753,153.053,1.08,-9999,-9999,357.013,5.27883,-99.2874,1.73217,1,0.967609,-0.773282
20050213,8.99,13.356,155.853,1,-9999,-9999,359.046,2.264,-47.7554,0.721298,1,0.705958,-0.0282331
20050214,10.108,17.333,158.693,0.92,-9999,-9999,361.9,0.791524,-67.6318,0.6467,1,0.698736,0.0390938
20050215,13.042,124.027,161.573,5.974,-9999,-9999,369.882,5.40256,-13.7962,0.787283,1,0.607187,-0.193754
20050216,12.788,96.959,164.492,7.079,-9999,-9999,372.123,6.65347,6.50254,0.355894,1,0.553774,0.183957
20050217,13.738,84.527,167.448,7.385,-9999,-9999,372.455,5.49506,11.1812,0.545027,0.5,0.547034,0.0853011
20050218,13.076,123.969,170.442,6.007,-9999,-9999,385.272,1.79272,10.0395,1.47676,0.875,0.628037,-0.861919
20050219,12.788,96.959,173.471,7.079,-9999,-9999,364.37,2.43436,4.01645,0.505739,0.770833,0.683072,0.16924
