TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20030101,-9999,-9999,102.133,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.806503,3.15462
20030102,-9999,-9999,102.742,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.783607,2.87636
20030103,-9999,-9999,103.408,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.3865,2.40009
20030104,-9999,-9999,104.133,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.39261,3.71405
20030105,-9999,-9999,104.917,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,1.55259,3.60875
20030106,-9999,-9999,105.758,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.886899,1.92475
20030107,-9999,-9999,106.657,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,2.51064,4.74319
20030108,-9999,-9999,107.615,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,2.25885,4.26174
20030109,-9999,-9999,108.629,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.662814,1.70614
20030110,-9999,-9999,109.701,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.393883,2.74713
20030111,-9999,-9999,110.831,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.843568,2.93699
20030112,-9999,-9999,112.018,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.951782,1.98726
20030113,-9999,-9999,113.262,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.423228,2.77016
20030114,-9999,-9999,114.562,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.287481,2.38248
20030115,-9999,-9999,115.92,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.26267,1.30711
20030116,-9999,-9999,117.333,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.494482,2.84711
20030117,-9999,-9999,118.802,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.468799,2.56081
20030118,-9999,-9999,120.327,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.23167,2.25208
20030119,-9999,-9999,121.907,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.328527,2.67803
20030120,-9999,-9999,123.542,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.0999352,2.18902
20030121,-9999,-9999,125.232,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.0256767,1.0533
20030122,-9999,-9999,126.976,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.0416075,2.37839
20030123,-9999,-9999,128.773,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.414072,2.51103
20030124,-9999,-9999,130.623,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.409566,1.45258
20030125,-9999,-9999,132.527,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.737757,3.08621
20030126,-9999,-9999,134.482,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.0689006,2.1553
20030127,-9999,-9999,136.488,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.201692,1.23772
20030128,-9999,-9999,138.547,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.21381,3.54342
20030129,-9999,-9999,140.654,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.498614,2.59758
20030130,-9999,-9999,142.813,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.67027,2.66016
20030131,-9999,-9999,145.019,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,2.5572,4.79321
20030201,-9999,-9999,147.275,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,2.29453,4.298
20030202,-9999,-9999,149.578,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.89906,2.87852
20030203,-9999,-9999,151.927,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.01798,3.35779
20030204,-9999,-9999,154.323,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.92118,3.00968
20030205,-9999,-9999,156.764,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.313835,1.35901
20030206,-9999,-9999,159.25,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.135747,2.48101
20030207,-9999,-9999,161.779,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.528591,2.61682
20030208,-9999,-9999,164.35,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.991718,2.02438
20030209,-9999,-9999,166.964,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.59798,2.94602
20030210,-9999,-9999,169.618,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.292545,2.38466
20030211,-9999,-9999,172.313,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.412775,1.45516
20030212,-9999,-9999,175.046,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.124483,2.4689
20030213,-9999,-9999,177.817,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.0601581,2.14482
20030214,-9999,-9999,180.626,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.0835111,1.11722
20030215,-9999,-9999,183.47,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.0632021,2.40202
20030216,-9999,-9999,186.348,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.299429,2.39
20030217,-9999,-9999,189.261,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.3126,2.32175
20030218,-9999,-9999,192.207,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.92444,4.20691
20030219,-9999,-9999,195.183,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,2.28963,4.29314
20030220,-9999,-9999,198.191,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,2.6291,3.54404
20030221,-9999,-9999,201.228,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.842552,3.18883
20030222,-9999,-9999,204.293,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.411024,2.51063
20030223,-9999,-9999,207.386,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.230762,1.27356
20030224,-9999,-9999,210.505,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.178392,2.52563
20030225,-9999,-9999,213.648,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.277583,2.3709
20030226,-9999,-9999,216.815,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.863772,1.89668
20030227,-9999,-9999,220.005,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.5833,3.88847
20030228,-9999,-9999,223.216,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,1.89626,3.92802
20030301,-9999,-9999,226.447,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,2.55625,3.47706
20030302,-9999,-9999,229.697,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.48219,2.81626
20030303,-9999,-9999,232.966,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.238135,2.32911
20030304,-9999,-9999,236.251,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.844435,1.88161
20030305,-9999,-9999,239.552,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,0.590517,2.93948
20030306,-9999,-9999,242.867,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.592612,2.68488
20030307,-9999,-9999,246.195,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.48849,2.49144
20030308,-9999,-9999,249.536,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.12428,3.457
20030309,-9999,-9999,252.888,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.374233,2.47125
20030310,-9999,-9999,256.249,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.668992,1.70677
20030311,-9999,-9999,259.618,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.38679,3.70744
20030312,-9999,-9999,262.996,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,0.965097,3.05219
20030313,-9999,-9999,266.38,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,0.776572,1.81185
20030314,-9999,-9999,269.769,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.54161,3.85124
20030315,-9999,-9999,273.162,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,3.18673,5.10148
20030316,-9999,-9999,276.559,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,4.70424,5.40065
20030317,-9999,-9999,279.958,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,3.15701,5.33586
20030318,-9999,-9999,283.357,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,1.98186,4.00564
20030319,-9999,-9999,286.756,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,2.79242,3.68535
20030320,-9999,-9999,290.154,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,3.46748,5.60989
20030321,-9999,-9999,293.55,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,4.22152,6.03308
20030322,-9999,-9999,296.942,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,3.72679,4.53792
20030323,-9999,-9999,300.33,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,3.5524,5.68353
20030324,-9999,-9999,303.712,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,4.50648,6.28741
20030325,-9999,-9999,307.088,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,4.13529,4.90588
20030326,-9999,-9999,310.457,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,2.97675,5.17326
20030327,-9999,-9999,313.817,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,2.89974,4.8444
20030328,-9999,-9999,317.168,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,3.17461,4.04531
20030329,-9999,-9999,320.509,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,2.32362,4.57726
20030330,-9999,-9999,323.838,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,1.53392,3.58833
20030331,-9999,-9999,327.155,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.31705,2.32991
20030401,-9999,-9999,330.459,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,2.95177,5.14432
20030402,-9999,-9999,333.749,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,1.88304,3.91691
20030403,-9999,-9999,337.024,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.39196,2.40342
20030404,-9999,-9999,340.283,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.12607,3.4574
20030405,-9999,-9999,343.525,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,1.18069,3.25838
20030406,-9999,-9999,346.75,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,1.30094,2.31212
20030407,-9999,-9999,349.957,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.73749,4.02413
20030408,-9999,-9999,353.143,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,2.38627,4.36651
20030409,-9999,-9999,356.31,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,3.68178,4.48413
20030410,-9999,-9999,359.456,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,5.13234,7.0862
20030411,-9999,-9999,362.58,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,4.77553,6.52356
20030412,-9999,-9999,365.681,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,2.80164,3.70505
20030413,-9999,-9999,368.759,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,3.11055,5.27582
20030414,-9999,-9999,371.813,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,5.70733,7.33578
20030415,-9999,-9999,374.841,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,3.54816,4.38044
20030416,-9999,-9999,377.845,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,1.93506,4.21959
20030417,-9999,-9999,380.821,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,2.48766,4.46106
20030418,-9999,-9999,383.77,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,3.82662,4.62742
20030419,-9999,-9999,386.692,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,4.24061,6.30434
20030420,-9999,-9999,389.585,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,5.83066,7.45303
20030421,-9999,-9999,392.447,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,4.58745,5.30285
20030422,-9999,-9999,395.281,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,2.98376,5.17847
20030423,-9999,-9999,398.083,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,3.26019,5.16803
20030424,-9999,-9999,400.854,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,3.73977,4.54799
20030425,-9999,-9999,403.593,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,3.54998,5.68729
20030426,-9999,-9999,406.297,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,3.95177,5.79208
20030427,-9999,-9999,408.97,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,4.87738,5.55753
20030428,-9999,-9999,411.608,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,4.56169,6.59015
20030429,-9999,-9999,414.21,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,3.85293,5.7044
20030430,-9999,-9999,416.777,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,4.54052,5.25678
20030501,-9999,-9999,419.308,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,4.40299,6.44736
20030502,-9999,-9999,421.803,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,3.85611,5.70611
20030503,-9999,-9999,424.259,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,5.06276,5.71525
20030504,-9999,-9999,426.678,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,5.81087,7.6816
20030505,-9999,-9999,429.057,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,6.21391,7.77799
20030506,-9999,-9999,431.398,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,6.36583,6.86526
20030507,-9999,-9999,433.698,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,5.64485,7.54016
20030508,-9999,-9999,435.958,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,5.03757,6.75241
20030509,-9999,-9999,438.176,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,5.82388,6.38682
20030510,-9999,-9999,440.354,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,6.34537,8.15345
20030511,-9999,-9999,442.489,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,6.03275,7.63051
20030512,-9999,-9999,444.58,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,4.57107,5.29315
20030513,-9999,-9999,446.629,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,5.31012,7.24637
20030514,-9999,-9999,448.633,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,5.69027,7.32408
20030515,-9999,-9999,450.593,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,6.5566,7.02697
20030516,-9999,-9999,452.507,-9999,-9999,-9999,-9999,59.9049,61.7935,-2.25278,0,6.26328,8.0839
20030517,-9999,-9999,454.377,-9999,-9999,-9999,-9999,58.0765,63.0227,-1.96431,0,6.43705,7.98125
20030518,-9999,-9999,456.2,-9999,-9999,-9999,-9999,54.7707,29.5522,-0.945626,0,7.03057,7.43551
