TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
19960101,-9999,190.215,65.3852,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.430483,-1.19254
19960102,-9999,177.783,65.9498,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.353185,-0.920693
19960103,-9999,160.35,66.5689,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.201806,-1.14969
19960104,-9999,190.215,67.2438,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.013337,-1.60968
19960105,-9999,177.783,67.9739,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.00708433,-1.26679
19960106,-9999,160.35,68.7592,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.0449796,-1.30652
19960107,-9999,190.215,69.6,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.61425,-1.00877
19960108,-9999,177.783,70.4965,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.602027,-0.671851
19960109,-9999,160.35,71.4487,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.635829,-0.715668
19960110,-9999,190.215,72.4567,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.67525,-0.947769
19960111,-9999,177.783,73.5206,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,1.36208,0.0882046
19960112,-9999,160.35,74.6404,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,1.15873,-0.192765
19960113,-9999,190.215,75.8162,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.27136,-1.35166
19960114,-9999,177.783,77.048,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.0211169,-1.25276
19960115,-9999,160.35,78.3364,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.0815277,-1.26997
19960116,-9999,190.215,79.6805,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.086358,-1.53666
19960117,-9999,177.783,81.0804,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.00948999,-1.26439
19960118,-9999,160.35,82.5372,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.00548243,-1.34601
19960119,-9999,190.215,84.0492,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.00582112,-1.6172
19960120,-9999,177.783,85.6178,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.0106119,-1.26327
19960121,-9999,160.35,87.2415,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.0370422,-1.31445
19960122,-9999,190.215,88.9216,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.109883,-1.51314
19960123,-9999,177.783,90.6564,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.0399367,-1.23394
19960124,-9999,160.35,92.4472,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.0438958,-1.3076
19960125,-9999,190.215,94.2929,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.0533808,-1.56964
19960126,-9999,177.783,96.1929,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.0301143,-1.24376
19960127,-9999,160.35,98.1481,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.008947,-1.34255
19960128,-9999,190.215,100.157,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.00904846,-1.61397
19960129,-9999,177.783,102.22,-9999,-9999,-9999,-9999,10.8826,40.5765,1.24997,0,0.0104328,-1.26345
19960130,-9999,160.35,104.336,-9999,-9999,-9999,-9999,12.4514,43.4947,1.29995,0,0.0220623,-1.32943
19960131,-9999,190.215,106.506,-9999,-9999,-9999,-9999,12.2235,32.0767,1.57186,0,0.00300804,-1.62001
19960201,-9999,177.783,108.728,-9999,-9999,-9999,-9999,10.8826,41.2869,1.24997,0,0.00494448,-1.26893
19960202,-9999,160.35,111.002,-9999,-9999,-9999,-9999,13.6253,43.58,1.29995,0,0.0110937,-1.3404
19960203,-9999,190.215,113.328,-9999,-9999,-9999,-9999,11.9639,30.9726,1.57186,0,0.0663495,-1.55667
19960204,-9999,177.783,115.705,-9999,-9999,-9999,-9999,10.409,29.975,1.24997,0,0.10858,-1.1653
19960205,-9999,160.35,118.132,-9999,-9999,-9999,-9999,11.6688,33.5463,1.27811,0,0.350808,-0.978844
19960206,-9999,190.215,120.608,-9999,-9999,-9999,-9999,10.6151,20.3008,1.18585,0,1.05587,-0.180909
19960207,-9999,177.783,123.134,-9999,-9999,-9999,-9999,10.1578,24.2999,1.39102,0,1.01446,-0.4009
19960208,-9999,160.35,125.708,-9999,-9999,-9999,-9999,12.3153,33.4841,1.30397,0,0.833935,-0.520967
19960209,-9999,190.215,128.33,-9999,-9999,-9999,-9999,13.9137,31.1791,1.3152,0,0.692408,-0.67372
19960210,-9999,177.783,130.999,-9999,-9999,-9999,-9999,10.9874,37.3646,1.21892,0,0.848163,-0.395103
19960211,-9999,160.35,133.714,-9999,-9999,-9999,-9999,11.5769,35.9838,1.25351,0,0.584963,-0.719479
19960212,-9999,190.215,136.475,-9999,-9999,-9999,-9999,11.6527,21.9692,1.30807,0,0.839442,-0.519784
19960213,-9999,177.783,139.28,-9999,-9999,-9999,-9999,9.78182,27.3286,1.09032,0,0.911452,-0.20278
19960214,-9999,160.35,142.128,-9999,-9999,-9999,-9999,11.4648,31.1302,1.42329,0,0.626208,-0.84862
19960215,-9999,190.215,145.02,-9999,-9999,-9999,-9999,12.2714,21.9933,1.37252,0,0.23121,-1.19247
19960216,-9999,177.783,147.953,-9999,-9999,-9999,-9999,13.099,38.7172,1.21863,0,0.511804,-0.73074
19960217,-9999,160.35,150.927,-9999,-9999,-9999,-9999,12.4111,44.3323,1.26092,0,0.332554,-0.979914
19960218,-9999,190.215,153.94,-9999,-9999,-9999,-9999,11.7075,25.3771,1.33345,0,0.557149,-0.827459
19960219,-9999,177.783,156.993,-9999,-9999,-9999,-9999,10.7513,29.4051,1.20659,0,0.477679,-0.752821
19960220,-9999,160.35,160.084,-9999,-9999,-9999,-9999,11.1334,34.4216,1.13857,0,0.547572,-0.642543
19960221,-9999,190.215,163.211,-9999,-9999,-9999,-9999,11.4623,20.0664,1.48768,0,1.10183,-0.437006
19960222,-9999,177.783,166.374,-9999,-9999,-9999,-9999,11.3422,29.5156,1.26988,0,1.12313,-0.170671
