TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20030101,-11.296,43.876,63.0503,0.254,84.02458333,-9999,380.101,1.58456,-3.29363,0.273019,0.9375,0.405179,0.229279
20030102,-10.714,37.018,63.6105,0.16,57.49125,-9999,380.38,0.164092,-2.88163,0.301703,0.895833,0.416518,0.208518
20030103,-6.786,34.529,64.2252,0.334,77.22645833,-9999,378.444,0.0968753,-0.397615,0.308642,0.9375,0.493039,0.254989
20030104,-4.779,40.065,64.8954,0.205,76.96729167,-9999,377.742,0.247482,2.17925,0.380054,0.8125,0.530689,0.20836
20030105,-11.949,14.056,65.6204,0.133,30.48125,-9999,374.657,1.22427,-4.34248,0.305067,0.958333,0.392451,0.187963
20030106,-3.343,29.59,66.4002,0.666,59.78895833,-9999,377.061,3.37182,-15.1616,0.465223,0.9375,0.552611,0.134477
20030107,3.578,37.756,67.2354,2.646,73.37375,-9999,376.94,11.7837,-60.3104,0.598525,1,0.675421,0.0784167
20030108,-1.835,14.808,68.1259,1.939,31.38541667,-9999,376.716,21.5073,-25.3569,0.507868,1,0.582221,0.0926987
20030109,-15.971,48.034,69.072,0.404,85.83958333,-9999,376.745,4.73322,-12.9117,0.30856,1,0.318743,0.0746052
20030110,-25.708,51.17,70.0738,0.188,90.77833333,-9999,376.085,0.196842,-12.7113,0.267026,1,0.12831,-0.0632923
20030111,-24.609,27.03,71.1312,0.22,52.4375,-9999,376.327,1.33098,2.91422,0.243277,1,0.14839,-0.038463
20030112,-26.314,54.548,72.2444,0.165,93.80270833,-9999,376.065,0.118405,-5.07731,0.248157,1,0.110414,-0.0797878
20030113,-24.182,53.282,73.4133,0.263,98.35895833,-9999,376.414,0.848067,-21.5631,0.232672,1,0.138087,-0.046749
20030114,-19.617,54.916,74.6384,0.687,96.19,-9999,376.345,1.36202,-7.85431,0.197003,1,0.203425,0.0300899
20030115,-14.915,53.015,75.9197,1.502,94.12041667,-9999,376.475,2.55782,-21.9501,0.232615,1,0.264154,0.0249558
20030116,-14.163,56.651,77.2567,1.108,101.9785417,-9999,376.638,1.3231,-3.63593,0.235685,1,0.2552,0.00585707
20030117,-14.718,51.186,78.6498,0.351,95.14229167,-9999,379.697,1.3791,2.46247,0.148705,0.979167,0.229303,0.0728828
20030118,-15.9,53.304,80.0992,0.373,99.64270833,-9999,377.848,1.57398,-3.00026,0.188907,1,0.211834,0.0219596
20030119,-20.802,33.288,81.6041,0.228,65.33625,-9999,376.733,0.528982,1.38905,0.218912,1,0.146864,-0.0486397
20030120,-23.284,56.606,83.1655,0.244,102.5510625,-9999,377.034,0.58363,-5.02723,0.197011,1,0.11802,-0.0473777
20030121,-25.355,49.776,84.7823,0.201,91.433125,-9999,377.552,1.08823,9.05683,0.192052,1,0.0941318,-0.0611915
20030122,-30.459,63.779,86.4551,0.145,112.4135417,-9999,378.423,0.733358,27.4969,0.166979,1,0.0395063,-0.0894017
20030123,-28.576,30.483,88.1835,0.181,63.21854167,-9999,377.829,0.357779,1.56797,0.169632,0.979167,0.0618775,-0.0696721
20030124,-25.42,47.836,89.9668,0.187,88.34666667,-9999,377.931,1.98235,14.8839,0.184701,1,0.101764,-0.0477958
20030125,-27.756,67.929,91.806,0.172,122.7160417,-9999,377.197,1.17665,-0.800809,0.163336,1,0.0683754,-0.0590875
20030126,-23.288,27.446,93.7,0.206,60.09479167,-9999,377.44,2.89207,-0.654397,0.1808,1,0.115335,-0.0410193
20030127,-17.666,39.119,95.6483,0.301,79.43479167,-9999,378.599,5.41569,4.94287,0.14333,1,0.187703,0.0491789
20030128,-24.941,72.478,97.6511,0.236,131.1508542,-9999,377.503,1.79776,0.512849,0.188853,0.979167,0.0932195,-0.0614255
20030129,-17.776,63.545,99.7084,0.356,120.4979167,-9999,379.9,2.20772,5.40923,0.199385,0.958333,0.189762,-0.0093617
20030130,-12.401,27.229,101.819,0.451,57.83875,-9999,380.047,2.07304,10.6064,0.196706,0.958333,0.261617,0.0467225
20030131,-12.854,11.466,103.983,0.15,23.6379375,-9999,379.437,0.788151,-1.53292,0.257027,1,0.255933,-0.0143923
20030201,-16.422,18.634,106.2,0.17,41.62375,-9999,379.729,2.92546,-7.34414,0.178858,1,0.207079,0.0405594
20030202,-15.448,36.684,108.469,0.178,65.55479167,-9999,379.088,3.71339,0.956581,0.184056,1,0.221123,0.0456532
20030203,-17.175,59.825,110.79,0.189,108.8631458,-9999,378.696,4.76843,2.40676,0.201119,0.9375,0.197463,0.0154211
20030204,-15.324,21.497,113.162,0.161,46.10354167,-9999,379.927,1.72759,-20.895,0.220718,1,0.223785,0.0135283
20030205,-15.059,40.973,115.586,0.2,81.885625,-9999,378.354,3.03054,3.45074,0.209607,1,0.228062,0.0319403
20030206,-11.212,74.959,118.059,0.271,144.2389583,-9999,378.221,3.5632,4.33332,0.228832,1,0.281945,0.0473699
20030207,-10.737,42.6,120.582,0.379,86.2,-9999,377.951,5.48778,-7.99499,0.238047,1,0.288272,0.0438644
20030208,-22.347,96.047,123.153,0.352,169.5760417,-9999,377.178,4.01574,9.68676,0.194015,1,0.128486,-0.0200608
20030209,-21.782,95.311,125.773,0.348,172.2566667,-9999,377.923,1.56271,10.6728,0.20166,1,0.135587,-0.025843
20030210,-18.206,48.101,128.44,0.346,97.16314583,-9999,378.021,3.5903,-4.09541,0.193561,1,0.18589,0.00884556
20030211,-21.53,101.357,131.153,0.395,182.478125,-9999,378.17,2.89135,0.800403,0.167662,1,0.139767,-0.000139271
20030212,-16.979,53.028,133.913,0.352,106.689375,-9999,377.974,2.21581,12.3182,0.205178,1,0.200624,0.000184347
20030213,-16.171,48.675,136.717,0.446,103.7320833,-9999,377.648,3.54843,20.1996,0.212868,1,0.209467,0.00077771
20030214,-20.451,97.946,139.566,0.525,182.6345833,-9999,378.287,1.87785,48.6549,0.187172,1,0.149368,-0.013701
20030215,-18.603,32.908,142.457,0.317,73.07252083,-9999,379.011,3.03418,18.3381,0.201744,1,0.171615,-0.0129068
20030216,-14.065,36.393,145.391,0.169,80.075,-9999,379.757,1.81949,12.7729,0.18934,0.9375,0.229931,0.0373164
20030217,-15.027,59.798,148.367,0.315,125.3429167,-9999,379.255,3.35672,25.66,0.205708,0.958333,0.214552,0.0181997
20030218,-13.35,60.429,151.382,0.407,121.2122917,-9999,380.462,3.10408,19.484,0.218337,1,0.233016,0.0124367
20030219,-19.307,47.598,154.437,0.262,103.1341667,-9999,378.622,3.91072,15.1371,0.189195,1,0.154293,-0.00897439
20030220,-27.325,89.473,157.53,0.186,172.3002083,-9999,377.858,2.62018,37.9829,0.163967,0.979167,0.0598281,-0.057808
20030221,-26.758,127.977,160.661,0.249,230.4004167,-9999,378.122,2.86864,51.8729,0.165498,0.979167,0.067445,-0.0575438
20030222,-24.538,127.059,163.828,0.31,228.4197917,-9999,378.981,2.63261,49.5636,0.128699,0.958333,0.0880297,0.00136002
20030223,-26.214,131.809,167.031,0.246,233.8145833,-9999,378.44,1.64401,57.3561,0.177593,0.979167,0.0694511,-0.0659337
20030224,-23.271,131.502,170.267,0.495,238.8670833,-9999,380.126,2.1471,47.1985,0.146455,0.979167,0.104487,-0.0138971
20030225,-15.954,115.772,173.537,0.757,222.0783333,-9999,381.131,2.6983,47.0982,0.138084,1,0.183408,0.0530486
20030226,-12.913,91.86,176.839,0.505,182.6691667,-9999,381.345,2.32108,34.86,0.149856,1,0.2171,0.0611135
20030227,-13.648,54.678,180.171,0.366,115.076875,-9999,378.832,2.40935,22.6268,0.17142,1,0.205901,0.0317127
20030228,-16.133,59.591,183.533,0.205,128.569375,-9999,379.5,3.78884,31.605,0.175968,1,0.18708,0.0126409
20030301,-27.089,150.604,186.923,0.276,272.1283333,-9999,379.002,1.9564,56.3025,0.133111,1,0.0728376,-0.0293484
20030302,-23.671,66.218,190.342,0.242,141.505,-9999,379.099,3.33367,29.1991,0.142401,1,0.115447,-0.00284583
20030303,-22.499,137.05,193.786,0.267,258.3639583,-9999,378.485,4.51161,37.9304,0.135431,1,0.129687,0.011797
20030304,-24.818,150.745,197.256,0.275,271.1808333,-9999,378.684,3.21125,64.0631,0.137587,0.979167,0.100769,-0.0166795
20030305,-22.622,82.618,200.749,0.249,167.8191667,-9999,379.677,3.44257,20.5401,0.121497,0.979167,0.130124,0.0140886
20030306,-26.568,129.846,204.264,0.31,238.6071042,-9999,379.273,2.0757,54.8693,0.111922,0.958333,0.0779161,-0.0132831
20030307,-29.231,166.415,207.802,0.25,296.160625,-9999,379.571,1.19157,73.9761,0.121661,1,0.0469367,-0.0515895
20030308,-25.527,166.28,211.36,0.399,303.1033333,-9999,379.497,2.09312,59.3976,0.0920929,1,0.075459,0.00110898
20030309,-18.782,120.438,214.937,0.47,234.9339583,-9999,378.543,2.8841,56.9672,0.123291,1,0.139998,0.020821
20030310,-15.483,89.427,218.532,0.475,186.8360417,-9999,378.439,2.1897,41.7126,0.149642,0.979167,0.174985,0.0204011
20030311,-19.141,152.693,222.143,0.366,290.678125,-9999,378.45,6.97798,69.4433,0.103116,1,0.133364,0.0471986
20030312,-17.111,176.939,225.77,0.761,328.9516667,-9999,379.063,3.66184,77.3812,0.142931,1,0.154075,0.0251647
20030313,-13.306,89.034,229.412,0.465,191.0047917,-9999,379.684,4.33831,39.3279,0.176959,1,0.193134,0.0223664
20030314,-9.135,106.495,233.066,0.574,226.6198125,-9999,379.858,3.6227,45.5123,0.219122,1,0.23461,0.0111596
20030315,-3.808,123.538,236.733,0.844,248.1214792,-9999,380.307,3.86648,47.4574,0.323436,0.9375,0.314314,-0.0322564
20030316,-4.925,94.122,240.41,0.589,198.934375,-9999,379.773,2.82951,57.9779,0.308066,0.979167,0.35724,0.0364847
20030317,-5.268,20.375,244.096,0.05,50.8598125,-9999,381.136,1.00373,5.42271,0.386438,1,0.408988,0.0234273
