TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20030101,-9999,-9999,91.8863,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.975233,2.29793
20030102,-9999,-9999,92.4855,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.717573,2.69082
20030103,-9999,-9999,93.1434,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.521823,1.68557
20030104,-9999,-9999,93.8582,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.741762,2.06446
20030105,-9999,-9999,94.6309,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.747126,2.72038
20030106,-9999,-9999,95.4614,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.977804,2.14155
20030107,-9999,-9999,96.3491,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.907598,2.23029
20030108,-9999,-9999,97.294,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.907855,2.88111
20030109,-9999,-9999,98.2967,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.561822,1.72557
20030110,-9999,-9999,99.3568,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.467246,1.78994
20030111,-9999,-9999,100.474,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.598553,2.57181
20030112,-9999,-9999,101.648,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.787783,1.95153
20030113,-9999,-9999,102.879,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.557866,1.88056
20030114,-9999,-9999,104.167,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.387115,2.36037
20030115,-9999,-9999,105.511,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.348564,1.51231
20030116,-9999,-9999,106.912,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.464858,1.78755
20030117,-9999,-9999,108.369,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.324086,2.29734
20030118,-9999,-9999,109.882,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.650055,1.8138
20030119,-9999,-9999,111.45,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.879479,2.20217
20030120,-9999,-9999,113.074,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.637054,2.61031
20030121,-9999,-9999,114.753,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.204094,1.36784
20030122,-9999,-9999,116.486,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.396051,1.71875
20030123,-9999,-9999,118.274,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.714825,2.68808
20030124,-9999,-9999,120.115,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.482017,1.64577
20030125,-9999,-9999,122.01,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.477149,1.79984
20030126,-9999,-9999,123.958,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.322434,2.29569
20030127,-9999,-9999,125.958,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.117899,1.28165
20030128,-9999,-9999,128.01,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.179357,1.50205
20030129,-9999,-9999,130.113,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.458303,2.43155
20030130,-9999,-9999,132.268,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.822891,1.98664
20030131,-9999,-9999,134.472,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,1.22206,2.54475
20030201,-9999,-9999,136.726,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,1.33295,3.3062
20030202,-9999,-9999,139.029,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,1.3142,2.47795
20030203,-9999,-9999,141.379,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.919861,2.24256
20030204,-9999,-9999,143.778,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,1.11715,3.09041
20030205,-9999,-9999,146.222,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.712715,1.87646
20030206,-9999,-9999,148.714,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.362243,1.68494
20030207,-9999,-9999,151.249,-9999,-9999,-9999,-9999,42.2423,65.1363,-2.20363,0,0.354992,2.32824
20030208,-9999,-9999,153.829,-9999,-9999,-9999,-9999,33.3177,69.0897,-1.1447,0,0.787331,1.95108
20030209,-9999,-9999,156.453,-9999,-9999,-9999,-9999,44.5603,52.5786,-1.51523,0,0.558179,1.88088
