TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20050101,2.623,50.856,108.665,-9999,97.850625,79.33291667,427.422,7.46194,-7.36561,0.840818,1,3.28516,2.45327
20050102,4.964,16.4,109.279,-9999,38.673125,36.86166667,417.124,26.6817,-31.2427,1.8059,1,3.98883,2.19388
20050103,2.343,46.509,109.95,-9999,89.69020835,72.93854167,413.256,14.184,-3.7805,0.60117,1,3.20761,2.61206
20050104,0.685,80.177,110.681,-9999,163.3112766,49.80319149,405.219,11.8581,-4.56795,0.635681,0.979167,2.78891,2.22619
20050105,1.423,67.172,111.47,-9999,136.973125,66.63625,414.884,10.4623,-9.09616,0.995457,1,2.95658,1.9378
20050106,5.71,38.513,112.316,-9999,76.79666667,71.71,443.024,13.0363,-13.2281,3.23598,1,3.99129,0.659694
20050107,1.882,38.124,113.222,-9999,70.69458331,66.965,388.846,9.21445,2.95448,0.543006,1,2.75192,2.1079
20050108,5.211,75.839,114.184,-9999,150.965625,55.17770833,382.275,30.0562,-5.41145,0.56533,1,3.44682,2.78097
20050109,6.415,45.056,115.205,-9999,87.14499998,75.606875,386.913,12.5927,-5.57135,0.862467,1,3.43073,2.41641
20050110,2.686,70.246,116.283,-9999,136.9304167,62.41208333,410.369,13.9948,-0.70253,0.7199,1,2.30238,1.47804
20050111,1.9,79.079,117.419,-9999,159.870625,65.29333333,403.654,12.1503,-2.01347,0.769827,1,1.94178,1.06371
20050112,1.946,52.652,118.612,-9999,100.0958333,87.81854167,506.421,17.3283,1.01427,1.18571,1,1.7612,-0.207133
20050113,4.874,83.687,119.862,-9999,166.9449999,59.31854167,391.367,28.2006,-6.68183,0.055904,1,2.31681,1.99184
20050114,-1.645,61.814,121.169,-9999,114.7572917,83.71395833,459.212,16.3256,7.40061,0.610809,1,1.31467,0.833388
20050115,-3.297,14.383,122.532,-9999,31.50770827,30.15083333,497.479,8.80564,8.49131,1.52064,1,1.12136,-0.580124
20050116,-2.823,30.258,123.951,-9999,52.45145833,50.85645833,394.939,13.9144,9.99511,0.788368,1,1.22326,0.305839
20050117,-2.358,34.419,125.426,-9999,60.60291671,58.66104167,401.199,9.60467,10.5366,0.405766,1,1.30972,0.841318
20050118,0.99,15.218,126.956,-9999,33.78895825,32.45416667,421.243,8.74456,-9.92098,1.82577,1,1.84661,-0.0782919
20050119,0.266,59.408,128.542,-9999,118.0208334,100.1129167,393.441,17.4718,-7.9256,0.726358,1,1.70836,0.86841
20050120,3.312,17.318,130.182,-9999,40.76458327,39.4525,394.552,13.0531,-24.1632,1.39156,1,2.27594,0.87631
20050121,6.051,26.108,131.876,-9999,56.72791667,54.858125,425.376,27.5076,-27.5863,1.86802,1,2.81873,0.963554
20050122,2.245,83.689,133.623,-9999,170.96,67.240625,404.12,28.3282,0.670492,0.833559,1,2.09735,1.35756
20050123,-1.081,49.171,135.424,-9999,95.61583333,81.61770833,398.967,12.3103,-7.6572,1.10928,1,1.5133,0.432706
20050124,-2.192,65.665,137.278,-9999,105.4129167,75.01916667,383.762,11.167,-12.8958,1.74062,1,1.34658,-0.385816
20050125,-3.581,57.635,139.184,-9999,112.2016668,105.0854167,378.35,8.05381,-11.0544,1.07727,1,1.05543,-0.0113623
20050126,-4.474,71.715,141.142,-9999,137.9935417,116.990625,376.277,19.7892,-17.0035,1.04512,1,0.743266,-0.297514
