TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,-0.074,-9999,93.2008,0.061,-9999,-9999,390.229,-0.387479,37.4814,0.975539,1,1.07201,0.0768981
20040102,0.708,-9999,93.8014,0.189,-9999,-9999,391.26,-0.421696,31.915,0.904758,0.916667,0.980422,0.0401639
20040103,0.386,-9999,94.4606,0.092,-9999,-9999,385.598,-0.403754,44.068,0.654132,0.729167,0.896946,0.239468
20040104,-0.074,-9999,95.1766,0.061,-9999,-9999,358.001,-0.372013,18.1586,0.473487,0.395833,0.793538,0.238272
20040105,0.708,-9999,95.9512,0.189,-9999,-9999,358.456,0.788334,23.2895,0.975648,0.4375,0.763701,-0.303437
20040106,0.386,-9999,96.7831,0.092,-9999,-9999,358.438,0.77594,11.7021,0.845885,0.104167,0.800383,-0.105307
20040107,-0.074,-9999,97.6722,0.061,-9999,-9999,364.816,0.827709,1.46863,0.818169,0.75,0.924511,0.0233327
20040108,0.708,-9999,98.6191,0.189,-9999,-9999,374.165,0.786085,7.16679,0.784728,0.4375,1.01582,0.170683
20040109,0.386,-9999,99.6237,0.092,-9999,-9999,372.704,-0.177333,-4.01646,0.647219,1,0.973655,0.290086
20040110,-0.074,-9999,100.685,0.061,-9999,-9999,376.883,-0.131939,3.22508,0.679313,0.0416667,1.10718,0.406373
20040111,0.708,-9999,101.804,0.189,-9999,-9999,375.038,-0.0862641,-10.6933,0.753654,0.5625,1.1191,0.327028
20040112,0.723,-9999,102.98,0.19,-9999,-9999,370.523,-0.0640387,-8.51947,0.934427,1,1.16097,0.224324
20040113,0.723,-9999,104.213,0.19,-9999,-9999,372.852,-0.526866,-0.267276,1.28472,0.958333,1.1803,-0.0867063
20040114,0.703,-9999,105.503,0.187,-9999,-9999,370.874,11.172,-81.2007,1.56112,0.916667,1.2202,-0.303429
20040115,0.05,-9999,106.849,0,-9999,-9999,376.112,-0.478926,-14.2932,0.944379,0.958333,1.14781,0.223206
20040116,-0.712,-9999,108.252,0,-9999,-9999,381.044,1.96325,-30.425,0.94485,0.8125,1.00165,0.0544784
20040117,1.377,-9999,109.711,0,-9999,-9999,378.624,-0.0344304,-4.31105,0.644968,0.666667,0.938666,0.270066
20040118,0.189,-9999,111.225,0.005,-9999,-9999,384.34,1.96077,15.2591,0.931234,0.791667,0.892243,-0.0943137
20040119,-3.482,-9999,112.795,0.008,-9999,-9999,387.855,0.650865,15.9044,0.768277,0.854167,0.819318,0.0421952
20040120,-2.397,-9999,114.421,0.001,-9999,-9999,386.993,-0.121754,6.57014,0.82579,1,0.882733,0.0585686
20040121,-5.762,-9999,116.101,0.057,-9999,-9999,390.558,-1.14696,8.17561,1.37808,0.729167,0.837901,-0.550653
