TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,-4.108,35.618,83.1792,0.41,59.84979167,43.27625,387.776,1.9205,7.25701,0.72489,0.958333,0.950318,0.178541
20040102,-5.383,16.629,83.7693,0.351,35.038125,31.37875,386.023,1.41769,13.6084,0.642417,1,0.837787,0.140371
20040103,-6.933,30.331,84.4168,0.417,58.07354167,46.12541667,384.956,3.48125,2.30437,0.298336,0.958333,0.718128,0.390347
20040104,-7.68,21.584,85.1208,0.356,43.76354167,39.12520833,390.398,3.21045,-6.74394,0.269536,0.979167,0.662634,0.377594
20040105,-7.756,5.332,85.8822,0.322,57.13166667,40.37291667,395.741,3.62605,-0.517364,0.437338,0.916667,0.630242,0.0763031
20040106,-5.872,8.274,86.7008,0.309,88.145,53.08395833,383.699,10.1359,-5.01805,0.511857,1,0.716337,0.196215
20040107,1.631,15.626,87.5761,0.648,33.401875,30.238125,388.719,2.97005,-14.1531,1.16214,1,1.24341,0.141022
20040108,1.493,58.18,88.5083,2.029,103.1135417,37.28479167,385.925,9.22866,16.8604,0.397793,1,1.13052,0.776341
20040109,0.432,9.037,89.4975,1.081,17.94425532,17.50645833,390.967,0.281797,-5.22775,0.882366,1,0.958773,0.0861346
20040110,1.347,6.001,90.5439,0.46,13.285,12.22,384.772,-0.512897,-2.97863,1.0604,1,0.996238,-0.0309346
20040111,3.233,35.896,91.6472,1.167,68.42395833,44.47395833,382.868,5.8129,-19.6779,0.350214,1,1.11723,0.789156
20040112,3.033,50.893,92.8072,1.584,91.60729167,44.969375,379.237,8.59538,13.113,0.255464,1,1.08007,0.841835
20040113,3.104,9.265,94.024,1.076,19.50104167,17.82125,382.129,8.02516,-7.84057,0.616775,1,1.09413,0.492824
20040114,3.116,19.566,95.2976,2.296,37.74958333,29.96666667,379.871,11.5699,56.9461,0.809059,1,1.10405,0.307204
20040115,0.527,10.121,96.6279,0.575,21.74229167,19.839375,384.697,1.28563,-7.86308,0.574262,1,0.927179,0.349006
20040116,1.812,17.512,98.0144,1.719,34.74645833,31.18145833,385.864,17.4013,15.6859,0.141648,1,1.04341,0.902527
20040117,2.9,33.446,99.4571,2.289,62.101875,43.283125,387.671,3.77043,17.1524,0.30586,1,1.1707,0.870621
20040118,-1.452,11.011,100.955,0.754,22.70583333,20.63479167,390.598,1.62528,3.62626,0.777978,1,0.881363,0.119444
20040119,-2.333,19.549,102.51,0.414,39.59041667,35.90583333,389.993,9.22694,4.24054,0.600467,1,0.856564,0.240326
20040120,-2.306,19.796,104.12,0.409,40.29395833,35.82729167,387.258,-1.88375,29.7602,0.972906,1,0.920378,-0.0616931
20040121,-4.688,22.971,105.786,0.338,43.33708333,37.615625,387.002,2.69378,23.9639,1.19426,1,0.811956,-0.397449
20040122,-8.542,30.383,107.506,0.323,97.62166667,57.54458333,388.128,11.3236,-2.35424,0.827241,0.958333,0.589024,-0.0806466
20040123,-8.799,65.731,109.281,0.297,139.308125,42.24583333,395.884,12.8644,-17.1879,0.86432,0.958333,0.605027,-0.102426
