TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,-3.898,14.833,53.459,0.289,32.6875,-9999,372.486,-0.212182,-14.9229,1.58882,1,1.50962,0.0230021
20040102,-3.532,26.779,54.0001,0.819,39.45625,-9999,369.391,0.475,-32.532,1.48526,1,1.54767,0.0940535
20040103,-3.474,14.992,54.5941,0.683,29.30416667,-9999,371.465,0.281132,-13.4625,1.70373,1,1.55508,-0.135821
20040104,-3.554,15.66,55.2413,1.045,29.22291667,-9999,369.607,4.03333,-14.2067,1.75791,1,1.54351,-0.206993
20040105,-4.618,33.998,55.9421,0.9,49.44166667,-9999,373.954,0.20625,-14.5167,1.46134,1,1.41182,-0.0339481
20040106,-3.054,7.115,56.6967,0.976,15.4875,-9999,375.458,1.86643,-7.95615,2.02717,1,1.54592,-0.478908
20040107,2.608,9.577,57.5053,0.067,18.65208333,-9999,367.982,0.179194,-17.475,1.51048,1,2.12153,0.639654
20040108,0.069,6.871,58.3684,0.076,14.58333333,-9999,369.372,-2.40384,-10.5483,1.64533,1,1.80877,0.172274
20040109,-0.751,2.885,59.2858,0.208,7.689583333,-9999,378.194,-1.5,-11.6896,1.73559,1,1.67998,-0.0556158
20040110,-1.336,11.704,60.2578,0.125,25.49583333,-9999,374.666,-0.228842,-9.24792,1.49436,1,1.56672,0.0720899
20040111,0.847,2.642,61.2846,0.132,6.464583333,-9999,372.995,-0.69498,-43.6562,1.37261,1,1.72722,0.354614
20040112,2.903,12.906,62.3661,0.446,25.2375,-9999,365.203,-5.60917,-58,1.33758,1,1.89987,0.562284
20040113,1.543,3.154,63.5033,0.115,6.995833333,-9999,370.549,0.284175,-19.219,1.79453,1,1.74769,-0.0463836
20040114,0.952,4.965,64.6957,0.1,10.05,-9999,370.658,0.392641,-14.1343,1.31021,1,1.67129,0.32545
20040115,-0.229,30.435,65.9433,0.069,46.48333333,-9999,373.207,-1.1415,-2.85035,1.45375,1,1.54312,0.0894803
20040116,0.372,3.769,67.2471,0.033,8.489583333,-9999,369.234,-0.502572,-17.5026,1.69748,1,1.57952,-0.118731
20040117,-0.294,15.263,68.606,0.491,28.4,-9999,367.484,3.03145,-11.2239,1.21825,1,1.53852,0.320271
20040118,-1.991,23.087,70.0215,0.562,51.21041667,-9999,368.994,2.95163,-30.4666,1.15821,0.9375,1.44812,0.346467
20040119,0.631,22.185,71.4923,0.507,38.69375,-9999,365.75,0.670571,-64.8408,1.25278,1,1.7635,0.547635
20040120,-1.473,18.544,73.0192,1.005,34.32916667,-9999,368.736,8.44621,-4.51818,2.09481,1,1.61021,-0.4846
20040121,-5.513,47.319,74.6023,1.001,75.23333333,-9999,370.859,4.04933,10.8625,1.07507,1,1.24193,0.16464
20040122,-6.71,28.279,76.2411,0.694,50.56875,-9999,372.709,1.225,-4.56847,1.36537,1,1.15658,-0.207099
20040123,-2.659,14.704,77.9356,0.683,29.43333333,-9999,377.351,2.3125,-1.77917,1.66468,1,1.5676,-0.0970859
20040124,-1.995,6.327,79.6865,1,14.35,-9999,380.013,5.42111,5.25208,1.63782,1,1.64648,0.00869868
20040125,-4.106,21.402,81.493,0.447,42.24166667,-9999,376.984,2.64583,7.62708,1.07047,1,1.42352,0.35305
20040126,-4.503,26.875,83.3549,0.521,50.7625,-9999,378.355,2.16458,-1.6953,1.25587,1,1.37942,0.179399
20040127,-5.16,31.528,85.2722,0.382,73.09375,-9999,380.022,0.828646,-4.5125,1.22838,0.833333,1.31032,0.0753056
20040128,-2.005,16.873,87.2446,0.281,35.03541667,-9999,372.195,-0.696477,-7.53333,1.76242,1,1.62239,-0.140035
20040129,-2.86,16.636,89.272,0.239,91.80208333,-9999,368.807,2.91671,-2.67773,1.61344,1,1.53128,-0.0821617
20040130,-2.36,18.392,91.354,0.276,74.49583333,-9999,371.417,-2.31467,-42.1208,1.47191,0.895833,1.58241,0.111043
20040131,1.331,6.515,93.4905,0.601,16.00833333,-9999,371.734,4.27236,-96.4979,1.78288,1,1.96446,0.18158
20040201,2.225,31.908,95.6811,0.395,58.40625,-9999,365.628,-0.759086,-41.1714,1.49758,1,2.05865,0.561072
20040202,3.759,9.071,97.9252,0.201,18.99791667,-9999,366.234,-0.294533,-37.7625,1.56134,1,2.20982,0.648478
20040203,6.836,4.544,100.223,0.146,11.18333333,-9999,365.067,-0.910607,-95.3411,1.7263,1,2.52738,0.801086
20040204,7.604,8.721,102.573,0.162,18.57083333,-9999,362.424,-2.03204,-97.2009,2.66992,1,2.58573,-0.0841919
20040205,7.798,29.277,104.975,0.676,54.02708333,-9999,361.375,-6.18686,-157.624,2.20551,1,2.578,0.372497
20040206,5.811,14.375,107.429,0.454,29.66041667,-9999,364.307,-0.354628,-46.6458,1.81356,1,2.3144,0.50084
20040207,3.988,18.615,109.934,0.589,36.74583333,-9999,362.811,1.86667,-63.5083,1.79335,1,2.07413,0.28078
20040208,0.709,21.567,112.489,0.493,41.38125,-9999,364.338,3.13055,-22.6333,1.48302,1,1.70516,0.222134
20040209,-0.494,64.396,115.095,1.333,107.7625,-9999,366.921,9.28554,-32.9119,1.28937,0.979167,1.55579,0.273141
20040210,-0.194,18.465,117.749,0.531,37.83333333,-9999,367.45,-1.7375,-28.5125,1.02878,1,1.55409,0.568343
20040211,-1.491,59.196,120.452,0.975,105.675,-9999,367.263,10.0776,16.2604,1.16868,1,1.41054,0.243973
20040212,-2.354,19.965,123.202,0.804,42.76666667,-9999,371.486,5.67666,-6.89219,1.39216,1,1.30884,-0.0823085
20040213,0.245,16.102,126,0.088,34.59375,-9999,368.392,0.797577,-19.5051,1.10635,1,1.51442,0.41339
20040214,1.195,46.39,128.844,0.33,82.47916667,-9999,366.929,4.02033,-8.87033,1.19138,1,1.67159,0.481156
20040215,0.6,46.554,131.732,0.398,89.81875,-9999,367.984,7.86864,-8.44992,1.30626,1,1.71033,0.41121
20040216,1.117,16.925,134.665,0.113,36.83333333,-9999,365.847,1.39536,-14.8371,1.30305,1,1.85093,0.550411
20040217,3.85,51.021,137.642,1.12,91.05,-9999,363.1,13.4263,-81.9346,1.45023,1,2.20786,0.757629
20040218,1.459,75.331,140.662,1.268,127.0770833,-9999,364.873,9.81306,-4.00208,1.58453,1,1.9769,0.398979
20040219,-1.774,98.117,143.722,1.322,160.1541667,-9999,371.213,4.14989,33.0611,1.23918,1,1.65803,0.491904
20040220,-1.047,104.971,146.824,1.37,169.45,-9999,371.602,9.15511,31.0396,1.17985,1,1.76019,0.776006
20040221,-0.692,97.81,149.965,1.514,165.1520833,-9999,371.848,8.87554,16.8771,1.51687,1,1.81242,0.295555
20040222,-0.541,41.123,153.145,0.783,74.24375,-9999,370.971,6.09013,-29.5872,1.30434,1,1.78375,0.481418
20040223,-1.459,65.815,156.362,0.998,117.3541667,-9999,366.282,11.5961,-16.9104,1.47522,1,1.63528,0.160065
20040224,-0.841,21.373,159.616,0.446,45.95416667,-9999,367.527,1.71477,-62.4817,1.23446,1,1.64554,0.411085
20040225,-0.275,75.9,162.906,0.789,135.2541667,-9999,365.871,9.04792,-49.2002,1.25587,1,1.65655,0.40068
20040226,0.028,46.506,166.229,0.645,91.59375,-9999,366.681,10.4837,-53.0396,0.910387,1,1.64907,0.738682
20040227,-1.13,42.065,169.586,0.825,80.34375,-9999,374.535,7.675,5.85417,1.0072,1,1.50404,0.496986
20040228,-0.917,66.946,172.975,1.158,117.1854167,-9999,371.158,8.50813,15.775,1.0516,1,1.49106,0.441564
20040229,-1.774,87.649,176.395,0.71,169.28125,-9999,372.721,5.52292,19.5125,1.0301,1,1.43246,0.405151
20040301,1.064,23.342,179.845,0.477,49.55,-9999,368.087,0.434083,-43.2521,1.0456,1,1.74342,0.698557
20040302,3.216,106.377,183.324,0.926,190.2333333,-9999,363.686,11.2254,-20.225,0.803082,0.9375,2.00515,1.20207
20040303,-0.958,132.238,186.83,1.679,223.3833333,-9999,367.093,12.7897,20.1747,1.6367,1,1.6268,-0.00929535
20040304,-2.658,89.619,190.362,1.267,157.3583333,-9999,370.737,11.125,33.8438,1.21753,1,1.49383,0.280083
