TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20100101,-17.021,5.581,17.3439,0.052,10.31125,7.555625,405.016,1.11187,-13.4404,0.490195,1,0.163688,-0.319912
20100102,-19.257,8.907,17.7474,0.036,15.10854167,10.11854167,404.751,-0.828671,-17.479,0.36561,1,0.120765,-0.225263
20100103,-15.78,3.13,18.1928,0.089,6.538333333,4.353333333,405.357,-0.395942,-10.3215,0.358076,1,0.17697,-0.174666
20100104,-6.909,3.108,18.6806,0.12,5.938541667,4.027708333,397.69,-1.16427,4.10544,0.344635,1,0.322177,-0.0407065
20100105,-15.443,6.747,19.2123,0.085,13.16354167,9.30875,403.462,0.221979,-7.05358,0.436405,1,0.152188,-0.271166
20100106,-18.919,8.196,19.7877,0.091,16.24979167,11.49041667,406.244,0.0477638,-12.5836,0.431982,1,0.0910355,-0.330438
20100107,-18.375,4.201,20.4084,0.078,9.832291667,7.06,404.878,-0.138667,-12.4709,0.402438,1,0.10273,-0.291404
20100108,-19.709,10.779,21.0746,0.084,18.364375,11.37729167,407.51,-0.763765,-13.0351,0.346434,0.958333,0.0863189,-0.261509
20100109,-14.699,9.743,21.7871,0.116,22.77604167,13.09395833,401.985,1.26673,-5.24975,0.18835,0.666667,0.155403,-0.0630166
20100110,-12.273,6.05,22.5473,0.14,12.70666667,10.12708333,400.367,0.858445,3.68785,0.195592,0.8125,0.198879,-0.059934
20100111,-7.619,6.507,23.3555,0.154,13.32916667,10.805625,398.449,-1.68637,6.80052,0.282428,0.791667,0.293214,-0.0562759
20100112,-4.816,8.47,24.2127,0.311,16.17666667,13.41020833,395.266,-0.543837,2.48963,0.40759,0,0.353129,-0.0764169
20100113,-10.148,9.288,25.1195,0.16,20.08604167,16.29520833,397.962,5.34186,2.44369,0.469357,0,0.241968,-0.231498
