TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20050101,8.767,31.193,97.7616,1.193,65.8406383,-9999,375.549,14.3229,-17.4181,0.875568,1,2.12366,1.25542
20050102,6.374,54.162,98.3665,2.049,99.24427083,-9999,371.464,22.5038,-33.9829,0.296333,1,1.80792,1.50798
20050103,4.774,69.673,99.03,1.09,128.8996875,-9999,374.419,8.75368,-11.6807,0.188913,0.958333,1.62166,1.42426
20050104,3.908,70.112,99.7506,1.005,123.2166667,-9999,375.706,8.14878,-11.6625,0.221235,0.958333,1.5108,1.27772
20050105,7.149,22.194,100.53,0.802,44.39677083,-9999,374.096,14.5768,-12.6733,1.11768,1,1.90599,0.78722
20050106,8.706,26.524,101.367,1.259,53.14021277,-9999,373.189,10.787,-26.26,1.14032,1,2.11887,0.982485
20050107,9.961,15.036,102.261,1.603,30.05572917,-9999,369.507,12.4219,-19.7423,1.92128,1,2.30486,0.39196
20050108,8.08,18.177,103.214,1.927,32.74395833,-9999,370.093,24.0825,-33.6873,1.40728,1,2.06004,0.650849
20050109,8.317,43.546,104.224,1.485,81.72625,-9999,369.737,10.78,-16.5808,0.911368,1,2.07933,1.16803
20050110,9.36,77.973,105.292,2.082,128.6166667,-9999,368.726,18.4905,-26.5468,0.948676,1,2.18758,1.24609
20050111,9.159,19.597,106.416,1.482,37.3596875,-9999,369.955,13.9493,-30.6217,1.5184,1,2.17166,0.663346
20050112,8.288,61.849,107.598,1.922,104.9301042,-9999,369.473,21.4647,-13.7612,0.783449,1,2.07738,1.30262
20050113,3.825,77.576,108.837,1.245,133.385625,-9999,377.508,11.3228,-0.421106,0.198035,1,1.54441,1.34015
20050114,0.526,34.926,110.133,0.219,71.98489583,-9999,378.346,7.27306,7.3544,0.297702,0.541667,1.17975,0.867325
20050115,0.655,66.172,111.485,0.438,116.0398958,-9999,378.095,6.94058,11.1948,0.183905,0.770833,1.20224,1.0049
20050116,2.4,57.353,112.894,0.659,104.3589583,-9999,379.565,6.9533,4.72681,0.183853,0.645833,1.41939,1.22278
20050117,6.039,16.487,114.358,0.447,30.01052083,-9999,373.239,18.6243,-11.0403,1.32754,1,1.86503,0.534183
20050118,5.55,43.731,115.879,1.551,62.97177083,-9999,372.435,30.6436,-34.2071,1.06418,1,1.80991,0.752391
20050119,5.16,40.133,117.454,1.092,55.45458333,-9999,369.411,14.6579,-22.514,0.44801,1,1.73314,1.3008
20050120,9.882,18.039,119.085,1.438,12.10927083,-9999,365.245,31.123,-31.3628,2.06429,1,2.31846,0.293191
20050121,8.274,54.219,120.77,2.42,81.86052083,-9999,368.78,41.733,-25.5275,0.982793,1,2.03491,1.08242
20050122,4.446,39.802,122.51,0.973,62.68072917,-9999,375.199,17.78,-3.13192,0.395303,1,1.50653,1.09384
20050123,2.162,80.083,124.304,1.199,126.0096875,-9999,379.338,25.1179,-4.52648,0.016118,0.979167,1.2173,1.20996
20050124,1.178,64.519,126.151,1.203,112.8039583,-9999,375.104,26.9024,-10.0322,0.183371,1,1.07817,0.901434
20050125,-0.486,71.624,128.052,1.336,124.0220833,-9999,378.558,25.6922,-5.67356,0.221389,1,0.871281,0.648264
20050126,-1.818,70.226,130.004,1.158,115.9403125,-9999,379.245,21.877,-4.84977,0.505619,1,0.711539,0.199147
20050127,-1.284,49.466,132.009,0.698,99.03354167,-9999,385.817,8.01171,0.873693,0.394732,1,0.693179,0.290497
20050128,4.058,13.417,134.065,0.586,29.685625,-9999,376.354,9.31285,-17.2133,0.654458,1,1.00836,0.348267
20050129,1.222,42.141,136.172,0.909,79.74052083,-9999,389.239,15.0264,-0.974566,0.239255,1,0.785661,0.542419
20050130,2.949,41.731,138.329,0.902,83.36072917,-9999,386.404,9.54865,-2.2419,0.271811,1,0.900266,0.642954
20050131,5.412,28.626,140.535,0.968,60.43916667,-9999,374.402,8.65399,-5.57174,0.459137,1,1.0578,0.609709
20050201,6.102,56.769,142.791,1.639,111.565,-9999,369.412,21.045,-7.87787,0.50645,1,1.07392,0.580832
20050202,5.674,29.933,145.094,1.09,59.86760417,-9999,372.025,13.0219,-5.13546,0.348582,1,0.99071,0.652179
20050203,5.355,37.211,147.445,1.274,75.69385417,-9999,369.49,12.3061,-3.76996,0.40999,1,0.918797,0.508089
20050204,4.7,56.36,149.842,1.399,90.33840426,-9999,383.271,12.6953,1.35471,0.331276,1,0.868415,0.520749
20050205,2.038,25.428,152.286,1.009,53.23125,-9999,377.896,12.5244,-9.06017,-0.221622,1,0.76871,0.971694
20050206,2.99,51.87,154.774,1.273,100.9914583,-9999,384.452,9.33396,-3.36294,-0.119997,1,0.893236,0.998184
20050207,3.137,110.875,157.307,1.261,191.2353125,-9999,400.936,15.2904,2.56517,-0.206836,0.9375,0.980897,1.17299
20050208,5.253,96.96,159.883,2.019,172.3847917,-9999,393.767,15.2849,3.17745,0.218017,1,1.23096,1.00725
20050209,6.041,91.075,162.501,1.903,167.8521875,-9999,382.975,18.7768,-5.66577,0.363729,1,1.37605,1.01128
20050210,7.915,26.332,165.161,1.601,56.54479167,-9999,368.913,11.0925,-22.6903,1.31202,1,1.60662,0.301538
20050211,10.421,26.007,167.862,0.575,53.9725,-9999,368.945,29.076,-20.0143,1.76901,1,1.84397,0.104357
20050212,11.08,26.121,170.602,1.929,57.47489583,-9999,367.268,43.2925,-42.0844,1.66684,1,1.87457,0.228882
20050213,4.044,46.106,173.381,1.406,87.21229167,-9999,373.574,26.9023,-26.3733,0.461354,1,1.1417,0.674331
20050214,3.713,34.909,176.197,1.792,69.84322917,-9999,373.576,32.0932,-21.6204,0.424638,1,1.00941,0.57412
20050215,2.256,68.218,179.05,1.277,125.1623958,-9999,375.568,28.187,-14.3915,-0.000260952,1,0.808348,0.794457
20050216,0.505,85.578,181.939,1.839,153.0255208,-9999,378.325,40.8416,6.65829,0.13019,1,0.615721,0.468089
20050217,0.748,48.961,184.863,1.548,98.74666667,-9999,381.141,15.4709,3.71355,0.0701358,1,0.578336,0.5028
20050218,2.865,61.356,187.819,1.26,121.393125,-9999,384.605,16.7767,4.01833,0.285777,1,0.706523,0.427775
20050219,3.454,93.175,190.809,1.243,176.0153125,-9999,371.366,33.313,1.62097,0.331598,1,0.753595,0.437484
20050220,0.735,30.158,193.83,0.505,63.95197917,-9999,372.309,11.533,-4.48208,0.17334,1,0.594966,0.401478
20050221,1.309,72.875,196.881,1.047,138.6404167,-9999,370.584,16.8431,4.11346,-0.0807792,1,0.496189,0.539224
20050222,-0.73,36.11,199.96,0.473,72.3515625,-9999,379.867,14.5733,-4.47613,0.0125391,1,0.28984,0.242236
20050223,-1.597,87.445,203.068,0.759,161.1989583,-9999,377.692,11.7581,5.01707,0.0191844,0.979167,0.272777,0.222204
20050224,-1.515,84.407,206.204,0.577,156.7983333,-9999,377.888,12.2919,5.24743,0.0315389,0.958333,0.360735,0.277878
20050225,-1.222,114.511,209.364,0.94,203.1940625,-9999,377.709,15.5377,8.41082,0.0579279,0.875,0.456271,0.334134
20050226,-0.827,111.669,212.549,0.965,199.1203125,-9999,376.759,13.2688,4.17559,0.18072,0.9375,0.566151,0.329309
20050227,-1.34,134.892,215.758,1.477,242.92125,-9999,378.652,13.3207,5.20839,0.0991666,0.9375,0.614678,0.45589
20050228,-4.127,173.408,218.989,1.635,306.4957292,-9999,381.52,19.1033,12.3107,0.0256371,0.958333,0.532381,0.448842
20050301,-3.362,110.536,222.241,1.702,216.4832292,-9999,384.211,13.9326,12.6591,0.282344,1,0.663228,0.30574
20050302,-0.972,42.571,225.513,0.83,92.83864583,-9999,380.489,8.74821,-2.19382,0.240882,1,0.901737,0.543585
20050303,-0.486,49.564,228.803,0.561,110.7915625,-9999,380.358,10.2268,-2.87569,0.238992,1,0.97963,0.645135
20050304,-1.075,129.09,232.111,1.126,247.15125,-9999,380.1,15.353,3.4593,0.215967,0.9375,0.756103,0.4923
20050305,0.874,105.357,235.436,0.851,218.3191667,-9999,375.496,8.03779,-10.3998,0.251218,0.979167,0.672172,0.37795
20050306,-0.782,143.813,238.776,1.158,256.5705208,-9999,382.774,19.2387,-3.5728,-0.241883,0.958333,0.393715,0.598742
20050307,1.136,81.68,242.13,1.308,159.1108333,-9999,375.656,10.5637,-18.1255,-0.0304492,1,0.355555,0.359528
20050308,4.16,61.19,245.497,1.436,122.5207292,-9999,375.161,21.6021,-7.79225,-0.0822364,1,0.36316,0.418364
20050309,4.526,57.404,248.875,1.471,116.505,-9999,371.491,17.8739,-0.681087,-0.0226146,1,0.283772,0.299199
20050310,3.931,40.951,252.265,1.52,85.78114583,-9999,377.385,10.424,1.28304,0.0354664,1,0.285968,0.249063
20050311,4.535,80.636,255.664,1.627,159.8946875,-9999,371.77,29.2583,-7.41992,-0.312286,1,0.386824,0.696775
20050312,4.616,104.331,259.071,2.319,195.4653125,-9999,367.834,32.9058,-0.283348,-0.388342,1,0.461965,0.846036
20050313,3.096,160.06,262.485,2.439,290.8145833,-9999,374.599,26.1659,14.9184,-0.574017,1,0.496365,1.06399
20050314,4.365,150.042,265.905,3.065,273.14375,-9999,388.15,26.4225,14.9431,-0.311106,0.854167,0.61982,0.912111
20050315,8.473,192.231,269.331,4.115,357.0188542,-9999,375.798,36.5799,15.6996,0.172866,0.770833,0.919361,0.720309
20050316,14.983,187.743,272.76,7.94,345.9695833,-9999,371.041,47.0843,-10.4599,0.919321,1,1.43249,0.497356
20050317,14.053,177.144,276.192,4.037,329.7239583,-9999,362.664,27.2583,18.0736,0.914766,1,1.46698,0.518891
20050318,8.224,106.438,279.625,0.997,205.6365625,-9999,374.598,22.8654,16.5691,0.307773,1,1.12279,0.760017
20050319,8.681,164.297,283.059,3.154,302.1022917,-9999,380.593,29.3147,25.8004,0.521411,1,1.25203,0.653655
20050320,11.812,194.959,286.492,3.467,370.9297917,-9999,386.305,29.9991,17.2686,0.35578,0.875,1.60491,1.13983
20050321,12.255,124.584,289.925,3.68,243.5014583,-9999,387.231,22.0638,5.08501,0.236566,0.9375,1.73748,1.36396
20050322,13.261,72,293.354,2.678,150.5430208,-9999,381.711,29.0144,-10.5917,1.46647,1,1.90286,0.257124
20050323,11.516,207.181,296.779,3.475,404.61625,-9999,382.338,50.0328,11.7457,0.162871,0.791667,1.80677,1.4182
20050324,11.089,66.854,300.2,1.365,134.7969792,-9999,385.011,20.6455,-2.50224,1.13123,1,1.7982,0.463627
20050325,10.854,168.328,303.615,3.115,392.0226042,-9999,389.984,46.2525,18.0932,0.367962,0.6875,1.85049,1.30145
20050326,10.912,78.246,307.023,1.989,233.2414583,-9999,400.129,30.754,7.42887,0.786458,0.916667,1.89274,0.944683
20050327,11.261,75.949,310.424,1.279,155.0475,-9999,383.858,23.4797,3.97801,1.09086,1,1.9744,0.739858
