TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20030101,11.883,18.342,126.901,2.733,37.056625,34.95103043,431.87,2.21568,-42.3614,1.44175,0.833333,3.66957,2.75369
20030102,14.506,37.224,127.523,5.44,75.19402083,62.47824375,429.089,5.37664,-49.0839,1.34217,0.729167,4.14583,3.44983
20030103,11.899,51.25,128.204,4.788,103.5251875,55.2140625,433.681,19.0798,-32.7724,0.208047,0.708333,3.67284,3.91336
20030104,8.272,44.569,128.944,3.709,90.02929167,59.16680625,439.334,15.9784,-23.7674,0.708638,0.583333,3.04862,2.6977
20030105,1.375,56.534,129.743,2.316,114.1977083,52.92856875,438.102,6.23471,-23.8228,-0.616536,0.729167,1.96998,2.73382
20030106,-0.069,36.362,130.6,2.223,73.45158333,49.44905625,432.781,2.5332,-25.5301,-0.364449,0.6875,1.76602,2.23184
20030107,-1.743,26.448,131.516,2.854,53.42491667,45.79903125,432.47,9.9412,-21.7086,0.683138,0.354167,1.54602,0.880131
20030108,-0.041,18.39,132.489,3.007,37.14810417,32.4289875,421.914,14.8024,-40.4884,1.85176,0,1.769,0.19331
20030109,-2.339,28.947,133.521,2.871,58.47352083,50.0364,420.803,18.301,-37.5416,1.35481,0,1.47056,0.368051
20030110,-2.309,65.199,134.61,2.635,131.7022917,46.1135625,417.251,32.9944,-24.9798,-0.482277,0,1.47947,2.13852
20030111,-2.046,46.168,135.755,1.937,93.26,64.9063125,421.581,11.4943,-4.37154,-0.522428,0,1.51083,2.21861
20030112,-3.295,61.364,136.959,1.806,123.955125,62.235525,420.969,20.4107,-11.5401,-1.08201,0,1.35325,2.55246
20030113,-0.96,70.456,138.219,2.009,142.320625,42.3894375,408.887,21.6287,-15.7349,-0.322374,0,1.68366,2.18011
20030114,4.627,60.069,139.535,2.89,121.3402083,58.4038125,407.581,20.3284,-14.6105,1.17559,0,2.46266,1.61064
20030115,4.622,41.669,140.907,3.16,84.17152083,52.94889375,412.031,15.139,-26.0564,1.84435,0,2.46304,0.980933
20030116,6.161,20.786,142.334,2.04,41.9878125,38.0974125,422.023,18.256,-38.2231,1.61809,0,2.69418,1.49036
20030117,5.69,21.022,143.816,1.942,41.06891489,36.19334681,427.997,15.2896,-29.3951,0.475743,0,2.6245,2.45489
20030118,7.28,63.494,145.353,1.495,128.258125,105.5604375,421.82,15.3015,-9.42506,0.827691,0,2.8808,2.51722
20030119,8.928,47.177,146.944,1.595,95.29847917,83.75435625,424.456,34.6482,-37.2343,0.266356,0,3.15405,3.26566
20030120,8.299,28.074,148.589,2.082,56.708875,51.29229375,420.215,21.5519,-35.738,1.30576,0,3.05092,2.15155
20030121,8.555,41.708,150.287,1.734,84.24966667,76.8759,421.294,49.8911,-25.703,1.10586,0,3.09158,2.33694
20030122,9.418,83.279,152.037,2.565,168.2221875,158.9490938,417.506,37.5544,-23.4476,-0.714234,0,3.23905,4.33314
20030123,7.15,72.893,153.84,2.633,147.2440417,140.30895,420.009,20.1068,-26.3921,1.349,0,2.85655,1.88393
20030124,4.861,85.918,155.693,1.733,25.13325714,15.37782857,417.261,16.164,-1.97087,1.43385,0,2.46006,1.37519
20030125,4.428,109.961,157.598,1.63,160.2425,73.42854167,407.831,12.9915,10.7007,0.0944191,0,2.43249,2.68306
20030126,8.83,29.301,159.552,0.519,58.41458333,54.285,420.792,4.95209,-11.8671,0.74144,0,3.13626,2.74016
20030127,9.665,29.075,161.555,0.128,56.50104167,52.36979167,421.822,4.55503,-9.47273,0.27336,0,3.27759,3.34629
20030128,8.657,94.703,163.607,1.668,144.448,74.23916667,417.053,35.3906,-20.5446,-0.964009,0,3.1071,4.31188
20030129,5.163,73.987,165.708,1.369,149.2133333,86.89,405.685,31.2637,-27.401,1.02445,0,2.53716,1.81593
20030130,3.483,25.265,167.855,1.302,51.82958333,47.97145833,406.287,9.94388,-26.1367,2.04852,0,2.27845,0.586891
20030131,1.863,68.423,170.048,2.059,121.069375,74.17395833,397.396,28.973,-10.6052,0.526607,0,2.0372,1.78266
20030201,3.3,44.776,172.286,1.096,81.92434783,71.10270833,414.772,6.10114,-9.10179,0.715455,0,2.26757,1.83479
20030202,7.809,77.584,174.57,0.825,160.6133333,106.5785417,417.187,27.6358,-22.8448,0.14713,0,2.97005,3.17498
20030203,9.393,17.564,176.898,0.492,37.36520833,34.51354167,428.143,8.51506,-22.1848,0.598081,0,3.23242,3.02605
20030204,5.543,72.24,179.267,1.091,146.75,90.85104167,408.237,26.6365,-16.4318,0.448404,0,2.59924,2.50467
20030205,3.499,55.821,181.68,1.077,105.8685417,86.17791667,400.472,12.8297,-20.0638,1.49774,0,2.28282,1.10586
20030206,3.174,140.619,184.133,2.626,204.557619,45.59041667,395.904,23.6172,22.2152,-0.661376,0,2.23968,3.15394
20030207,3.144,117.142,186.626,3.011,217.9152174,98.31104167,403.77,17.6617,4.60045,-0.0739642,0,2.2435,2.65319
20030208,6.98,139.504,189.158,3.541,209.2048837,61.61604167,401.16,16.5611,27.9892,-1.31591,0,2.85138,4.56181
20030209,7.267,57.481,191.729,1.363,113.0802083,100.1672917,405.378,7.43546,-9.82564,1.1205,0,2.87727,2.0751
20030210,6.602,141.821,194.336,2.965,209.6862791,75.67208333,391.737,21.5456,21.164,-0.014022,0,2.77122,3.29929
20030211,6.278,64.187,196.98,2.289,125.0564583,116.3704167,393.282,13.1623,0.466802,1.50238,0,2.7205,1.36609
20030212,6.635,88.78,199.658,2.604,175.9204167,136.7841667,387.725,18.4978,13.3834,1.6145,0,2.77476,1.72623
20030213,3.534,111.754,202.371,1.484,217.5922917,143.7195833,387.767,17.8119,17.7209,0.86506,0,2.29348,1.76353
20030214,-1.122,47.279,205.116,1.469,86.14583333,80.91666667,375.919,9.87387,-1.20645,2.5045,0,1.6248,-0.642377
20030215,0.014,78.667,207.893,1.832,135.5185417,121.1860417,379.427,10.2909,10.7916,1.49122,0,1.78135,0.613778
20030216,0.47,154.464,210.701,2.165,289.5502083,89.60958333,381.714,13.6058,17.8141,-0.0199468,0,1.85359,2.10659
20030217,-1.617,125.056,213.539,1.852,234.8021277,95.44125,377.379,12.1451,19.9575,0.914575,0,1.57206,1.25653
20030218,0.097,161.15,216.405,2.503,308.9574468,82.75583333,382.512,11.6648,37.302,0.371348,0,1.81491,2.12829
20030219,1.784,23.066,219.298,0.87,36.04347826,31.55,385.624,1.24512,-14.9211,3.63495,0,2.03455,-1.07121
20030220,6.185,62.306,222.217,1.783,120.2925,108.151875,383.983,13.271,-7.77115,2.42284,0,2.70399,0.613332
20030221,8.326,167.444,225.162,4.169,315.0006522,79.49104167,379.818,33.5069,25.3147,-0.330875,0,3.0674,3.77118
20030222,8.88,88.419,228.13,3.137,175.1983333,141.2552083,380.632,16.4533,-9.89626,1.80354,0,3.15621,1.88803
20030223,10.861,116.621,231.122,3.49,238.2064583,163.8591667,378.481,23.5046,-4.25758,0.704042,0,3.49763,3.2263
20030224,10.16,129.256,234.134,3.381,264.2702083,160.27875,378.865,29.6137,-1.85761,0.570546,0,3.37736,3.23196
20030225,11.139,58.962,237.168,4.511,118.0039583,108.890625,380.318,28.7878,-25.5575,2.49225,0,3.53697,1.51304
20030226,10.922,38.667,240.22,3.269,79.12916667,72.73958333,380.468,18.746,-23.2344,3.39514,0,3.50139,0.596416
20030227,9.487,114.073,243.291,1.368,236.7891667,147.7404167,381.248,22.8391,-14.9093,0.682582,0,3.25253,3.06561
20030228,9.734,103.211,246.378,2.845,217.5154167,140.638125,378.274,32.7634,-0.568245,0.59818,0,3.31107,3.17272
20030301,11.323,95.481,249.482,2.056,170.35,126.1260417,379.005,26.4375,-14.3314,0.789396,0,3.5716,3.19706
20030302,9.8,83.101,252.599,1.455,164.9522917,128.5458333,380.673,27.2707,-26.2676,1.47391,0,3.30219,2.19504
20030303,10.304,28.485,255.731,0.443,65.08895833,60.22375,380.063,1.74916,-46.7311,2.69477,0,3.39224,0.936764
20030304,12.612,102.368,258.875,3.671,205.4858333,177.53625,377.544,30.3007,-15.3473,1.90431,0,3.80031,2.41437
