TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20080101,23.685,148.693,390.016,4.857,287.1052083,259.3335417,402.792,78.4081,2.46599,-1.2437,0.979167,7.96881,8.92832
20080102,25.655,206.405,390.349,6.342,394.9704167,248.02625,389.65,97.2288,18.1434,-1.44791,1,8.34864,10.2142
20080103,24.947,143.838,390.708,5.636,275.019375,218.984375,393.665,95.0235,-8.61086,-0.0676137,1,8.21296,8.13361
20080104,25.739,182.756,391.094,7.038,353.4116667,219.266875,384.929,130.275,-3.68456,-1.76083,1,8.365,10.1175
20080105,25.587,192.516,391.504,7.479,373.0841667,187.9054167,380.696,134.639,15.7227,-3.52298,1,8.30948,11.838
20080106,24.275,77.412,391.94,3.543,152.5133333,141.999375,398.375,59.7196,-11.484,2.14909,1,7.98799,5.61828
20080107,24.834,120.436,392.399,4.88,230.524375,218.7554167,395.02,107.233,-17.842,0.229295,1,8.01169,7.81199
20080108,25.274,174.331,392.883,6.668,329.6135417,209.4152083,389.796,115.792,3.10538,-1.43704,1,7.95886,9.56059
20080109,24.986,152.438,393.39,5.911,288.6102083,204.5591667,391.205,112.457,2.72344,-2.56229,1,7.76212,10.2654
20080110,24.796,75.479,393.92,3.818,147.4502083,145.040625,400.103,60.2834,-9.07051,1.09092,1,7.58582,6.32065
20080111,25.046,190.731,394.472,5.993,363.245625,223.7566667,393.31,101.97,15.0909,-1.52666,1,7.48641,9.33877
20080112,23.883,76.456,395.046,2.768,149.2372917,117.9872917,405.359,57.8949,-8.01208,2.93528,1,7.15292,4.2865
20080113,25.277,136.604,395.64,5.599,259.354375,203.945625,388.233,104.857,-8.1965,-0.57263,1,7.42975,8.18865
20080114,25.171,161.13,396.254,7.384,307.3160417,226.5129167,388.208,120.915,-3.35987,-2.849,1,7.51114,10.4996
20080115,25.03,213.577,396.888,8.075,406.9089583,204.8054167,385.448,123.405,17.7964,-2.9609,1,7.58602,10.6342
20080116,24.283,165.616,397.54,4.746,320.7095833,239.3285417,396.936,108.846,10.1702,-1.94222,0.9375,7.55125,9.47041
20080117,23.521,80.09,398.21,2.743,155.2339583,143.298125,405.066,58.8746,-11.5919,1.72125,1,7.51844,5.68277
20080118,24.439,149.279,398.897,4.927,279.2347917,249.4616667,394.711,109.208,-4.52269,-0.799205,1,7.80429,8.58265
20080119,25.22,172.456,399.6,6.216,322.751875,208.8422917,386.947,121.377,-8.87866,-1.68261,1,8.06917,9.82875
20080120,25.414,190.099,400.32,7.794,355.1783333,222.8733333,385.959,137.911,-2.53274,-1.13278,1,8.22614,9.46471
20080121,25.223,177.026,401.053,6.66,325.1866667,220.1983333,392.538,124.935,-4.51043,-1.50844,1,8.31537,9.88765
20080122,25.153,228.159,401.8,8.104,428.2654167,218.7527083,391.096,139.205,9.93963,-2.53206,1,8.43769,11.0227
20080123,24.845,155.46,402.56,7.629,292.0147917,234.6741667,395.236,124.413,-17.2216,-1.10409,1,8.51472,9.66131
20080124,25.203,170.124,403.331,8.191,317.664375,248.89875,392.692,108.303,-1.49984,-1.55245,1,8.72316,10.4505
20080125,25.009,145.125,404.114,6.7,269.79125,251.3672917,400.444,114.588,-6.91315,-1.2925,1,8.71438,10.1689
20080126,25.327,242.498,404.906,8.452,475.4129167,176.8597917,395.996,147.522,32.0189,-0.923258,1,8.65892,9.77651
20080127,25.055,259.692,405.708,8.703,487.8952083,151.7460417,393.9,140.773,35.8782,-2.06658,1,8.48351,10.4659
20080128,24.613,208.549,406.518,6.569,394.2545833,209.0647917,383.421,101.209,26.6564,-1.03209,1,8.25991,9.30986
20080129,25.17,157.089,407.335,6.863,298.0320833,213.6966667,392.071,99.2881,-0.0542522,-2.47742,1,8.22117,10.591
20080130,24.829,101.818,408.159,5.453,189.7775,187.49625,397.693,88.7259,-17.1182,1.02532,1,8.01034,6.99647
20080131,25.427,212.139,408.988,7.714,398.385625,221.9277083,379.59,116.876,21.0942,-1.9131,1,7.97502,10.3523
20080201,24.711,224.582,409.822,7.195,428.7583333,207.4085417,378.113,100.325,32.1358,-3.54175,1,7.76358,11.1454
20080202,25.128,226.683,410.66,8.215,429.744375,244.1658333,366.248,101.626,30.3715,-4.98275,1,7.84792,13.0867
20080203,24.484,108.488,411.499,4.966,207.6845833,187.8433333,389.758,63.9695,-9.6983,0.136506,1,7.73815,7.56203
20080204,23.199,117.074,412.341,2.887,228.0679167,222.8820833,395.166,85.3379,-0.370149,-0.0876991,1,7.51024,7.39048
20080205,23.925,69.681,413.183,2.629,136.9285417,126.9404167,398.884,60.5741,-21.064,1.26466,1,7.65216,6.30315
20080206,24.292,109.475,414.024,3.596,212.0472917,199.4439583,390.956,92.7883,-18.322,-0.899181,1,7.66008,8.51479
20080207,25.297,142.591,414.866,5.929,265.74625,212.920625,371.65,116.398,-15.5136,-0.859051,1,7.6843,8.62108
20080208,25.417,131.547,415.705,6.973,243.3052083,207.4197917,365.966,101.94,-25.6127,-1.29413,1,7.54589,8.92764
20080209,25.264,119.116,416.542,6.079,220.579375,204.5741667,371.527,112.7,-26.6082,-1.0421,1,7.35926,8.43989
20080210,24.884,122.819,417.374,5.463,226.3758333,204.2191667,379.558,125.599,-23.9098,-1.51365,1,7.20821,8.69171
