TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20110101,-9999,137.823,390.072,-9999,-9999,-9999,-9999,55.811,19.5609,-3.15304,0,11.2544,15.2968
20110102,-9999,153.062,390.404,-9999,-9999,-9999,-9999,62.3477,27.8567,-3.5425,0,11.2678,15.8171
20110103,-9999,153.062,390.763,-9999,-9999,-9999,-9999,67.1756,27.8567,-2.9725,0,11.4627,14.5661
20110104,-9999,153.253,391.148,-9999,-9999,-9999,-9999,54.4697,28.1686,-2.91387,0,11.7368,15.8009
20110105,-9999,157.418,391.559,-9999,246.2750208,-9999,-9999,46.893,28.2655,-2.14018,0,11.5998,14.8705
20110106,-9999,144.694,391.994,-9999,228.2861042,-9999,-9999,46.4024,19.3467,-1.11634,0,11.6866,13.4193
20110107,-9999,122.93,392.454,-9999,199.8916042,-9999,-9999,32.8395,16.0971,-0.384585,0,11.8538,14.0181
20110108,-9999,160.163,392.937,-9999,252.1911042,-9999,-9999,49.4058,28.3674,-2.64432,0,11.5994,15.7561
20110109,-9999,141.988,393.444,-9999,221.5105625,-9999,-9999,41.4677,22.2259,-1.18235,0,11.7939,14.8688
20110110,-9999,155.684,393.974,-9999,237.7016042,-9999,-9999,47.3565,23.3133,-1.79211,0,11.5981,14.5059
20110111,-9999,150.997,394.526,-9999,218.5589167,-9999,-9999,44.4136,6.11344,-2.00421,0,11.5519,15.0144
20110112,-9999,140.221,395.099,-9999,202.9370208,-9999,-9999,40.2615,10.5023,-1.18682,0,11.521,13.8939
20110113,-9999,158.69,395.693,-9999,239.168,-9999,-9999,46.0294,15.3815,-1.86566,0,11.168,13.6133
20110114,-9999,141.519,396.307,-9999,208.2253333,-9999,-9999,39.4862,20.3252,-0.632941,0,11.3163,13.2389
20110115,-9999,155.379,396.94,-9999,238.5697292,-9999,-9999,48.3363,30.6797,-2.06999,0,11.8401,15.4113
20110116,-9999,138.882,397.591,-9999,216.9356667,-9999,-9999,39.2873,18.1652,-1.11982,0,11.8343,14.52
20110117,-9999,151.348,398.261,-9999,240.7080208,-9999,-9999,48.0225,40.3328,-2.03093,0,11.8897,15.6278
20110118,-9999,179.673,398.948,-9999,279.6451042,-9999,-9999,56.7494,32.9727,-2.93992,0,11.7151,15.8049
20110119,-9999,178.821,399.651,-9999,277.2278125,-9999,-9999,56.6127,27.9072,-2.19715,0,11.684,15.182
20110120,-9999,153.699,400.37,-9999,236.488375,-9999,-9999,45.6288,30.1903,-1.256,0,11.7341,13.6823
20110121,-9999,152.138,401.103,-9999,237.1684167,-9999,-9999,45.278,29.9523,-1.23261,0,11.7751,14.3897
20110122,-9999,147.502,401.849,-9999,235.002375,-9999,-9999,44.3743,26.1588,-1.64914,0,11.1705,14.6295
20110123,-9999,141.264,402.608,-9999,220.174,-9999,-9999,42.8624,24.7531,-1.27248,0,11.3533,13.84
20110124,-9999,103.756,403.38,-9999,171.3145833,-9999,-9999,26.3959,10.2688,0.268534,0,11.2409,12.8543
20110125,-9999,159.229,404.162,-9999,254.6740208,-9999,-9999,47.7979,26.0756,-1.96108,0,11.0585,14.3928
20110126,-9999,155.558,404.954,-9999,252.1862917,-9999,-9999,42.5295,32.2784,-1.10353,0,11.1398,13.4434
20110127,-9999,129.83,405.755,-9999,216.8690208,-9999,-9999,37.9935,18.2853,-0.658146,0,11.4027,12.6325
20110128,-9999,154.463,406.564,-9999,261.2967083,-9999,-9999,45.3118,24.8713,-1.59098,0,11.3351,14.5754
20110129,-9999,179.178,407.381,-9999,299.4125833,-9999,-9999,56.9873,30.483,-3.19682,0,11.8287,16.7725
20110130,-9999,141.315,408.205,-9999,231.1794583,-9999,-9999,41.0697,18.7828,-1.49657,0,11.6211,14.4238
20110131,-9999,169.077,409.033,-9999,277.9138542,-9999,-9999,52.7788,29.7129,-2.51223,0,11.3675,15.1622
20110201,-9999,164.153,409.867,-9999,270.6640208,-9999,421.404,51.1159,30.5335,-2.02285,0,11.4153,14.6534
20110202,-9999,194.639,410.703,-9999,328.1380417,-9999,420.371,58.4327,42.906,-3.21285,0,11.3515,15.363
20110203,-9999,141.508,411.542,-9999,237.2941458,-9999,422.74,44.3298,21.4088,-0.546286,0,11.1897,12.2953
20110204,-9999,203.241,412.383,-9999,334.6285208,-9999,420.464,66.45,40.7418,-3.60901,0,11.1378,15.6076
