TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20060101,13.58,8.058,157.075,2.217,17.47033333,17.4531109,395.587,9.08709,-22.228,1.34823,0.8125,2.28634,0.938106
20060102,9.52,30.42,157.701,1.142,59.25072917,50.32398556,389.053,16.2742,-21.3306,-0.58559,0.0833333,1.88472,2.47044
20060103,8.277,40.983,158.387,1.331,79.47391667,74.74949344,390.147,15.1466,-18.1923,-1.1911,0,1.76626,2.95736
20060104,9.423,58.438,159.131,3.006,114.2005,81.07355933,390.85,20.769,-12.6614,-1.83961,0,1.87517,3.71478
20060105,9.165,52.716,159.933,3.269,104.7778333,67.13131313,390.666,24.4802,-17.6364,-1.25552,0,1.85013,3.10565
20060106,7.875,91.502,160.793,2.94,178.8931667,57.66594275,390.324,33.821,-13.6701,-2.88479,0,1.73379,4.61858
20060107,6.737,94.985,161.71,2.812,184.601125,54.08834921,390.781,34.1962,-12.6076,-3.10893,0,1.63087,4.7398
20060108,7.731,84.393,162.686,3.713,161.1200208,78.07648819,389.022,32.5825,-8.5993,-2.14608,0,1.71813,3.8642
20060109,8.424,91.837,163.718,3.624,177.7882083,62.56808833,382.427,48.2993,-12.6416,-2.19939,0,1.7798,3.97919
20060110,8.046,103.688,164.806,4.08,194.4084375,77.92624604,382.15,38.6584,-11.0294,-2.50414,0,1.74546,4.2496
20060111,7.199,37.519,165.951,3.015,69.23747917,63.29965513,379.4,43.2616,-36.4271,-0.857094,0.270833,1.66508,2.52217
20060112,6.822,35.941,167.152,3.02,64.74664583,59.92164727,377.108,46.8655,-46.4707,-0.591315,0.5,1.63085,2.22216
20060113,5.993,98.522,168.408,4.142,188.9317083,66.40797167,375.458,36.0072,-11.1071,-2.33145,0.0208333,1.55862,3.88704
20060114,6.545,101.028,169.719,4.602,193.5430208,68.20819125,375.79,35.052,-13.7463,-2.31494,0.0208333,1.60693,3.92187
20060115,7.175,38.147,171.084,4.13,71.12002083,66.80645069,378.436,41.5055,-38.8124,-0.623895,0.125,1.66284,2.28674
