TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20080101,-5.278,108.292,147.502,1.51,-9999,-9999,391.152,2.32655,31.0506,1.33868,1,0.635231,-0.700052
20080102,-5.911,79.171,148.128,1.017,-9999,-9999,392.331,1.36405,11.3993,1.15916,1,0.600542,-0.57125
20080103,-2.447,29.263,148.813,0.498,-9999,-9999,388.614,4.02016,-8.15967,1.14103,0.979167,0.810653,-0.328475
20080104,0.198,56.496,149.558,0.719,-9999,-9999,385.095,5.22693,-3.84084,1.11044,0.979167,0.99271,-0.121787
20080105,2.086,13.523,150.36,0.027,-9999,-9999,383.921,0.279937,-41.7654,1.24836,1,1.12071,-0.132086
20080106,2.237,17.533,151.221,0.011,-9999,-9999,384.125,3.02162,-56.6136,1.21503,1,1.12288,-0.0888141
20080107,3.869,33.197,152.139,0.052,-9999,-9999,381.04,2.88074,-28.2273,0.90407,1,1.23532,0.336599
20080108,2.917,64.955,153.117,0.245,-9999,-9999,373.851,4.82728,2.54379,0.711444,0.958333,1.15649,0.414243
20080109,1.895,59.133,154.15,0.957,-9999,-9999,374.466,5.47618,3.93167,0.691254,0.979167,1.0645,0.326923
20080110,2.406,54.913,155.241,0.357,-9999,-9999,359.552,4.30729,2.35011,0.850712,0.979167,1.07153,0.102747
20080111,2.549,10.522,156.389,0.028,-9999,-9999,357.617,-0.0601433,-39.0448,1.13723,1,1.05236,-0.0640724
20080112,1.498,6.017,157.592,0.037,-9999,-9999,362.184,0.661048,-56.2101,1.94638,1,0.953092,-0.975298
20080113,-3.032,36.441,158.852,0.047,-9999,-9999,381.801,4.38178,-10.7235,0.375937,0.9375,0.64123,0.277423
20080114,-2.295,106.11,160.168,0.396,-9999,-9999,379.406,12.8395,4.38996,0.400671,0.958333,0.636801,0.209198
20080115,-0.839,48.589,161.538,0.516,-9999,-9999,364.459,4.08347,-24.0363,0.545911,0.958333,0.659709,0.082675
20080116,0.095,29.079,162.962,0.009,-9999,-9999,361.943,2.02497,-40.9565,0.839199,0.979167,0.662393,-0.201831
20080117,1.156,16.754,164.44,0.007,-9999,-9999,361.777,1.78118,-43.5789,1.07388,1,0.795136,-0.283681
20080118,1.294,42.259,165.972,0.093,-9999,-9999,361.609,4.61141,-7.8561,0.886274,0.854167,0.921477,0.0326897
20080119,2.889,116.263,167.557,2.983,-9999,-9999,360.75,11.2306,15.6814,0.862863,0.854167,1.16547,0.286523
20080120,5.71,133.72,169.193,4.474,-9999,-9999,355.292,11.43,-6.65835,1.00183,0.958333,1.452,0.455647
20080121,6.813,138.082,170.882,6.432,-9999,-9999,351.802,10.4583,-2.74319,0.964716,1,1.48957,0.536068
20080122,1.047,14.55,172.621,0.244,-9999,-9999,358.843,2.80054,-20.2279,0.785208,0.979167,0.999973,0.223283
20080123,-4.604,122.102,174.411,0.538,-9999,-9999,383.469,11.7384,72.6728,1.2816,0.979167,0.619249,-0.656218
20080124,-1.399,142.25,176.25,3.642,-9999,-9999,372.175,14.5145,12.3062,1.00386,0.895833,0.777414,-0.221332
20080125,4.396,136.823,178.137,6.821,-9999,-9999,359.686,10.4967,5.17355,1.08935,0.979167,1.08233,-0.00798365
20080126,4.379,146.488,180.073,5.753,-9999,-9999,360.445,10.3475,3.1061,0.978116,0.979167,1.02078,0.0428142
20080127,6.208,99.918,182.056,8.317,-9999,-9999,357.41,9.39587,-28.767,0.789299,1,1.06888,0.278656
20080128,5.986,131.249,184.086,5.256,-9999,-9999,357.093,8.52328,2.22535,0.803836,1,1.00157,0.196904
20080129,5.582,141.284,186.161,4.164,-9999,-9999,356.74,8.35056,23.4359,0.933776,0.958333,1.0972,0.166744
20080130,2.172,139.674,188.281,2.375,-9999,-9999,358.935,13.3021,17.0913,1.19545,1,1.03026,-0.149512
20080131,-0.155,61.177,190.445,0.591,-9999,-9999,362.226,4.07882,-4.59554,0.986515,1,1.00272,0.0203704
20080201,-0.7,50.212,192.652,0.391,-9999,-9999,404.964,6.68994,-8.2377,0.779453,1,1.07368,0.296558
20080202,-0.677,17.079,194.901,0.024,-9999,-9999,464.302,1.8223,-32.7966,1.00949,1,1.12517,0.116762
20080203,0.185,27.372,197.192,0.074,-9999,-9999,463.352,2.96296,-34.7499,0.937719,0.979167,1.23944,0.301509
20080204,0.51,12.254,199.522,0.012,-9999,-9999,467.278,1.93265,-72.2098,1.40469,1,1.3087,-0.0970973
20080205,-0.27,139.997,201.891,0.383,-9999,-9999,473.278,13.2311,18.1547,0.880931,0.958333,1.21748,0.363109
20080206,1.568,156.791,204.299,1.199,-9999,-9999,474.072,6.50485,27.74,0.953701,0.729167,1.24537,0.296984
20080207,-0.419,153.651,206.744,1.161,-9999,-9999,478.38,7.62792,58.3287,0.421026,0.895833,0.958191,0.536328
20080208,-4.559,87.815,209.226,0.656,-9999,-9999,485.608,6.39049,64.157,0.699268,1,0.593206,-0.10476
20080209,-3.604,107.246,211.742,0.431,-9999,-9999,483.802,5.51157,68.4862,0.636219,0.979167,0.559206,-0.0763829
20080210,-3.763,120.012,214.292,0.782,-9999,-9999,482.106,5.07005,50.3609,0.516052,1,0.63023,0.114296
20080211,-4.716,107.51,216.876,0.496,-9999,-9999,486.3,6.99742,45.2902,0.818059,1,0.693653,-0.123664
20080212,-4.457,84.243,219.491,0.955,-9999,-9999,486.173,4.1428,19.8737,0.786368,1,0.843829,0.0402391
20080213,-1.82,150.774,222.137,1.551,-9999,-9999,480.093,3.56677,29.6589,0.690352,0.9375,1.28274,0.590913
20080214,-0.568,186.355,224.812,3.193,-9999,-9999,477.562,7.2575,47.9688,0.825201,0.895833,1.63711,0.808931
20080215,-1.105,185.33,227.517,2.719,-9999,-9999,478.76,7.59353,55.4611,1.19642,0.895833,1.53637,0.338009
20080216,-7.352,167.718,230.248,0.878,-9999,-9999,482.077,5.54907,83.3986,0.988222,0.770833,0.856693,-0.128316
20080217,-8.815,188.906,233.006,1.632,-9999,-9999,481.865,6.97033,68.3873,1.1446,0.791667,0.716153,-0.42471
20080218,-0.858,196.782,235.79,4.314,-9999,-9999,480.131,6.44407,42.8807,1.08997,0.729167,1.38329,0.291981
20080219,-0.597,197.711,238.596,3.673,-9999,-9999,479.423,5.88702,44.8224,1.10804,0.708333,1.35041,0.241006
20080220,0.518,163.848,241.426,3.93,-9999,-9999,474.752,7.5962,34.7881,0.980306,0.4375,1.39181,0.414505
20080221,0.433,38.754,244.278,0.17,-9999,-9999,441.54,8.41618,-5.08631,0.743849,0.0208333,1.31518,0.569862
20080222,1.769,157.648,247.15,0.865,-9999,-9999,425.592,10.4863,36.7439,0.75222,0.0208333,1.37459,0.623987
20080223,4.204,196.146,250.041,3.198,-9999,-9999,401.902,16.112,49.9805,0.679483,0.416667,1.52215,0.845645
20080224,7.103,201.315,252.951,4.487,-9999,-9999,397.964,15.1923,48.3898,0.726104,0.645833,1.69625,0.962543
20080225,6.976,199.713,255.877,5,-9999,-9999,397.6,15.8547,37.1083,0.820102,0.854167,1.58434,0.757829
20080226,4.597,199.396,258.82,3.338,-9999,-9999,400.821,19.3487,59.4181,0.805523,0.833333,1.30052,0.491864
20080227,2.139,92.596,261.777,0.519,-9999,-9999,401.204,13.037,14.3603,0.906565,0.916667,1.03836,0.1313
20080228,2.952,66.698,264.747,0.994,-9999,-9999,399.666,9.52469,11.7867,0.876967,0.895833,1.01689,0.139415
20080229,2.53,85.425,267.731,0.538,-9999,-9999,399.997,11.2205,13.8268,0.846255,0.9375,0.915001,0.0689834
20080301,3.347,54.018,270.725,0.65,99.52733333,92.26752083,399.87,8.53773,-5.6682,0.862057,1,0.882712,0.0210555
20080302,9.613,212.917,273.73,7.154,391.8602083,65.7576875,396.842,23.7539,45.6966,1.06894,0.979167,1.1413,0.0698362
20080303,8.092,231.045,276.743,6.041,423.251875,62.161125,396.377,21.6149,41.923,0.902256,0.854167,1.08001,0.176265
20080304,3.899,171.1,279.765,1.789,312.5837292,128.6670208,398.895,18.3273,47.6236,0.863691,0.895833,0.916505,0.0532511
20080305,-1.522,25.082,282.793,0.596,50.0563125,49.426625,403.704,11.4344,10.4443,0.97103,1,0.655387,-0.313508
20080306,-2.045,39.067,285.826,0.194,54.13910417,51.55320833,404.924,8.97238,13.3221,1.12794,1,0.653041,-0.473038
20080307,-2.177,8.4,288.865,0.081,7.439770833,6.674354167,403.587,5.87859,-0.378201,0.792865,1,0.665216,-0.126041
20080308,-1.913,33.635,291.907,0.366,19.66795833,18.27270833,404.672,14.1841,22.755,0.9834,0.791667,0.707031,-0.275418
20080309,-0.782,32.086,294.952,0.607,65.952875,57.27375,404.195,14.1836,40.3823,0.65442,0.75,0.770918,0.116783
20080310,-0.858,18.73,297.998,0.039,12.1105,11.16016667,403.638,7.40014,-4.45646,0.706629,1,0.735448,0.0294543
20080311,-0.488,47.269,301.043,0.029,23.761375,22.62995833,403.139,6.3417,-4.73017,0.737217,0.854167,0.730222,-0.00633513
20080312,3.826,187.876,304.089,2.405,339.308875,201.8450417,400.811,20.0442,13.2146,0.736142,0.875,0.978683,0.240756
20080313,5.999,249.531,307.132,4.037,457.1675833,92.476875,399.06,18.6837,58.7917,0.81676,0.979167,1.11288,0.293021
20080314,5.381,252.342,310.174,3.786,468.1714583,72.5205625,399.091,15.4289,65.461,0.867759,0.979167,1.0765,0.206146
