TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20030101,0.772,84.232,117.657,2.528,-9999,-9999,359.102,2.70913,-32.4205,0.788052,0.854167,0.646525,-0.141527
20030102,1.915,45.934,118.276,1.731,-9999,-9999,357.08,2.65936,-33.2699,0.576151,1,0.685608,0.109456
20030103,2.572,82.988,118.953,3.786,-9999,-9999,356.412,5.2267,-34.0196,0.306675,0.8125,0.708202,0.401527
20030104,0.319,81.796,119.689,2.823,-9999,-9999,357.4,6.34184,-25.1697,0.5235,0.916667,0.731038,0.207538
20030105,-1.048,82.293,120.483,2.564,-9999,-9999,359.857,7.32137,-22.837,0.531795,0.25,0.741094,0.209299
20030106,-7.23,39.831,121.336,1.406,-9999,-9999,367.2,5.17687,-18.6514,0.432925,0.0416667,0.886642,0.453717
20030107,-7.928,37.715,122.247,1.171,-9999,-9999,368.493,4.56745,-20.1692,0.724278,0.895833,0.82353,0.0992522
20030108,-9.42,46.73,123.216,0.606,-9999,-9999,370.84,3.42954,-13.316,0.739713,1,0.823628,0.0839155
20030109,-5.355,38.838,124.243,1.139,-9999,-9999,361.93,3.16649,-20.5914,1.41236,1,1.24754,-0.164825
20030110,-6.128,77.128,125.328,1.492,-9999,-9999,361.575,2.45416,-21.404,1.08298,1,1.20242,0.119432
20030111,-7.732,88.263,126.47,1.266,-9999,-9999,367.401,2.23348,-30.895,1.07276,1,0.99765,-0.0771001
20030112,-7.691,94.16,127.669,2.398,-9999,-9999,366.322,7.31559,-41.8923,1.50914,1,0.848419,-0.661067
20030113,-5.224,67.511,128.925,2.625,-9999,-9999,364.918,5.20393,-24.0981,1.05563,1,0.823466,-0.235628
20030114,0.622,94.509,130.238,2.434,-9999,-9999,365.132,1.51415,-20.183,0.480722,0.979167,0.909566,0.426276
20030115,0.134,95.897,131.607,2.436,-9999,-9999,366.253,0.245182,-20.9611,0.545327,1,0.625897,0.0798776
20030116,-0.96,101.336,133.031,1.653,-9999,-9999,364.265,2.45622,-26.985,0.551199,0.979167,0.344899,-0.210458
20030117,-3.823,94.565,134.512,1.36,-9999,-9999,365.995,1.37081,-13.772,0.940235,0.979167,0.155798,-0.817195
20030118,-2.835,90.594,136.047,1.972,-9999,-9999,363.267,1.88009,-20.0444,0.839876,0.979167,0.199047,-0.685379
20030119,-4.889,100.846,137.636,1.548,-9999,-9999,362.298,0.527046,-17.8432,1.13621,0.958333,0.211704,-1.0236
20030120,-1.962,93.158,139.28,2.428,-9999,-9999,363.142,2.49921,-17.9583,0.777941,0.9375,0.300185,-0.506605
20030121,-1.302,22.103,140.977,0.291,-9999,-9999,365.486,-1.97737,-24.1221,0.428147,0.833333,0.354466,-0.0767451
20030122,-1.883,88.222,142.728,0.156,-9999,-9999,362.775,2.14164,-23.4387,0.765909,0.75,0.390067,-0.379193
