TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,-4.892,23.117,113.602,0.091,34.73120321,26.96471565,377.773,5.24929,-1.50289,0.506902,0.166667,0.489831,-0.0100753
20040102,-5.313,46.973,114.218,0.199,32.60865015,25.4507675,378.343,7.68453,1.67123,0.614316,0,0.489831,-0.0100753
20040103,-7.556,76.859,114.893,0.51,131.6058653,45.34114792,373.454,9.72191,34.8795,0.104533,0,0.489831,-0.0100753
20040104,-6.981,80.323,115.627,1.355,148.5216924,52.68600292,374.011,20.1731,40.9936,-0.0232777,0,0.489831,-0.0100753
20040105,-6.29,69.246,116.419,1.235,115.4212518,56.52349021,376.899,10.2181,31.2584,0.523463,0.229167,0.489831,-0.0100753
20040106,-3.425,66.752,117.269,1.307,129.5368856,59.15674354,378.981,9.26035,39.5006,0.849286,0.4375,0.489831,-0.0100753
20040107,-2.146,70.921,118.178,1.375,134.6854796,58.59090396,377.721,11.5777,33.9346,0.849912,0.291667,0.489831,-0.0100753
20040108,-3.09,70.818,119.144,1.475,136.9833691,68.27758167,373.905,2.79871,35.5045,0.656234,0,0.489831,-0.0100753
20040109,-3.794,61.655,120.169,0.509,111.6091467,52.04300625,374.864,5.63192,33.4591,0.781626,0,0.489831,-0.0100753
20040110,-5.063,83.139,121.251,0.688,148.6934621,67.77957958,375.154,11.5133,36.2391,0.400704,0,0.489831,-0.0100753
20040111,-3.808,58.96,122.391,1.901,113.9272762,76.27828646,378.483,11.4667,25.7731,0.629032,0,0.489831,-0.0100753
20040112,-2.29,63.106,123.587,1.18,122.0347111,73.78275583,377.51,15.1095,26.5307,0.889413,0,0.489831,-0.0100753
20040113,-1.319,39.666,124.841,0.916,77.43266225,68.65711729,376.547,18.6937,0.905386,1.06528,0,0.489831,-0.0100753
20040114,-0.462,83.618,126.151,2.188,161.7728301,38.380575,375.941,23.8879,27.3329,0.729348,0,0.489831,-0.0100753
20040115,-5.098,46.825,127.518,1.954,84.61307308,72.25161208,375.028,8.32538,17.8903,0.753282,0,0.489831,-0.0100753
20040116,-6.71,58.7,128.94,1.884,106.9045275,81.23303104,376.081,9.76454,24.6771,0.4799,0,0.489831,-0.0100753
20040117,-4.346,27.879,130.418,0.68,55.93686585,51.86596479,374.724,2.06782,11.7743,0.617787,0,0.489831,-0.0100753
20040118,-5.629,12.969,131.952,0.825,25.6666651,26.42446833,373.553,4.93142,-16.8687,0.520955,0,0.489831,-0.0100753
20040119,-6.785,85.805,133.54,1.183,157.5551111,65.75788375,373.598,16.287,54.3005,-0.0325469,0,0.489831,-0.0100753
20040120,-3.435,91.262,135.182,1.488,173.7317695,46.28673104,372.631,15.0267,46.6619,0.688777,0,0.489831,-0.0100753
20040121,-7.773,99.157,136.878,1.719,177.9946473,38.85930354,375.956,20.5274,69.5111,-0.444385,0,0.489831,-0.0100753
20040122,-9.165,101.942,138.628,1.895,185.6166184,39.85225542,376.409,27.8981,36.9763,-1.09774,0,0.489831,-0.0100753
20040123,-9.913,104.359,140.431,1.083,182.3411725,62.46942292,376.043,9.90861,16.9276,-0.664211,0,0.489831,-0.0100753
20040124,-6.383,99.178,142.286,2.19,189.3441899,43.60041229,374.984,16.4834,48.4633,-0.295997,0,0.489831,-0.0100753
20040125,-6.144,91.515,144.193,1.68,167.6884495,82.35391458,374.209,13.4264,41.2707,0.21567,0,0.489831,-0.0100753
20040126,-9.413,35.892,146.15,0.757,66.94103123,61.67964354,374.864,6.44455,0.648379,-0.526837,0,0.489831,-0.0100753
20040127,-8.402,30.819,148.159,0.382,35.7123031,34.11000083,378.031,0.751548,14.4542,0.714051,0,0.489831,-0.0100753
20040128,-9.667,105.552,150.218,1.209,189.686146,59.64868833,378.363,9.18519,36.535,-0.726693,0,0.489831,-0.0100753
20040129,-11.213,54.615,152.325,1.248,99.11846975,80.57114958,373.884,10.0769,-10.1507,-1.51039,0,0.489831,-0.0100753
20040130,-9.96,112.701,154.481,1.863,206.9952615,41.56550333,372.183,17.9191,17.977,-0.864767,0,0.489831,-0.0100753
20040131,-6.104,111.256,156.685,1.671,208.5097521,56.90757646,374.183,16.4941,40.7554,-0.0448722,0,0.489831,-0.0100753
20040201,-0.575,82.241,158.936,3.119,152.3559026,101.0663798,369.446,24.8259,43.2473,0.647304,0,0.489831,-0.0100753
20040202,3.923,93.692,161.233,5.965,179.7503066,99.81934896,368.602,19.7696,55.3631,0.494852,0,0.489831,-0.0100753
20040203,5.519,98.011,163.576,5.918,188.9504421,78.29488167,368.642,8.68814,54.6068,-0.00709594,0,0.489831,-0.0100753
20040204,7.96,89.71,165.963,8.89,167.7639971,122.2068956,368.754,4.79751,69.3966,-0.388813,0,0.489831,-0.0100753
20040205,7.954,123.685,168.394,9.262,238.5377035,42.10316604,368.255,8.30059,44.3863,-0.228674,0,0.489831,-0.0100753
20040206,6.565,103.113,170.867,7.832,200.401597,103.3119446,370.083,5.35848,35.0154,0.0451379,0,0.489831,-0.0100753
20040207,-0.831,36.735,173.383,2.115,70.95137063,62.772325,376.992,10.6655,-0.779879,1.02029,0,0.489831,-0.0100753
20040208,-2.781,124.597,175.94,2.525,195.394019,61.04207448,372.741,11.4016,17.0351,0.746317,0,0.489831,-0.0100753
20040209,-6.463,133.353,178.537,1.422,241.8660541,52.96089854,373.338,8.01446,16.7064,0.472559,0,0.489831,-0.0100753
20040210,-5.458,131.686,181.172,2.63,245.7181944,49.54416021,374.107,7.30239,31.5108,0.458384,0,0.489831,-0.0100753
20040211,-2.69,130.614,183.847,2.36,242.9980606,55.18671021,373.046,6.2764,19.0601,0.460589,0,0.489831,-0.0100753
20040212,-3.39,115.329,186.557,2.5,211.7232915,88.67278875,373.136,5.25433,31.752,0.464585,0,0.489831,-0.0100753
20040213,-0.208,142.602,189.305,2.811,248.4954368,45.5105079,370.383,8.20905,13.5097,0.838317,0,0.489831,-0.0100753
20040214,1.533,129.692,192.087,4.461,246.8083233,60.69196438,368.574,11.9631,22.7388,0.988904,0,0.489831,-0.0100753
