TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20130101,4.464,39.294,133.955,1.017,78.23788774,62.95026613,381.129,2.99811,-15.7278,-0.0226318,1,1.32916,1.35179
20130102,8.484,11.019,134.579,1.043,23.50098081,23.43628021,337.815,4.25161,-44.7291,1.49316,1,1.47876,-0.0143981
20130103,8.858,82.697,135.263,2.466,163.8751236,49.6852726,365.274,15.1757,-2.20056,-1.56803,0.9375,1.49027,3.11675
20130104,7.215,76.225,136.005,1.243,151.7162885,68.40357785,359.167,6.15068,7.2384,-1.5722,0.916667,1.43244,3.03003
20130105,8.704,21.61,136.806,0.824,42.90489869,42.88331971,356.608,0.590209,-2.09747,0.358661,1,1.49238,1.13371
20130106,9.15,24.749,137.665,0.818,48.25643279,48.37404265,339.445,0.706322,-1.39401,0.265162,1,1.51191,1.24674
20130107,7.943,86.704,138.583,0.92,162.360318,71.33058775,337.587,5.42405,9.76906,-1.12225,0.979167,1.4708,2.49534
20130108,6.905,25.901,139.558,0.405,49.87145485,49.8417825,349.276,-0.829617,-3.68659,-0.0646148,1,1.43662,1.50124
20130109,8.865,28.955,140.591,1.17,56.50663465,56.44711542,363.211,4.20429,-5.86407,-0.0983734,1,1.53993,1.63831
20130110,9.437,38.142,141.682,1.137,73.93460685,69.02127377,352.917,3.35386,-3.58403,-0.815246,0.979167,1.6813,2.49654
20130111,9.427,44.299,142.83,1.448,74.38630863,80.81578654,321.138,9.91079,-5.88211,-2.08795,0.979167,1.80631,3.8661
20130112,6.429,30.451,144.034,0.615,59.13855602,54.15865017,322.554,1.85559,-12.7413,-0.496187,1,1.79616,2.29235
20130113,6.911,23.219,145.295,0.482,46.75994633,46.61436413,299.622,0.351179,-33.976,0.275509,1,1.84745,1.57194
20130114,7.124,55.973,146.613,0.756,110.4027825,73.43388935,304.818,5.51275,-7.27658,-1.31394,1,1.62168,2.90184
20130115,4.887,25.666,147.985,0.581,49.94973665,46.93216508,309.357,0.211125,-19.766,-0.652024,1,1.28763,1.96137
20130116,5.095,32.958,149.413,0.774,64.54627933,59.40721556,319.179,6.08678,-35.5049,-0.600459,1,1.07553,1.7086
20130117,2.63,62.097,150.895,2.019,115.8122906,78.88603308,346.482,11.9424,-15.9749,-1.53641,0.9375,0.950539,2.69235
20130118,4.637,95.669,152.432,2.997,175.9237014,62.42739092,359.772,25.0196,-9.19735,-3.37317,0.979167,0.994638,4.43952
20130119,3.747,13.758,154.022,0.797,29.33897073,29.35340352,334.283,2.02826,-47.5235,-0.164454,1,0.957243,1.1217
20130120,10.471,23.7,155.666,0.685,48.87360575,48.76230342,281.918,1.38073,-27.9833,0.786271,0.979167,1.13347,0.347197
20130121,9.811,49.073,157.362,2.432,95.23931473,78.46643081,322.235,19.845,-40.4615,-1.77646,1,1.119,2.89546
20130122,9.446,45.439,159.11,2.77,0.617201432,1.482547979,329.157,19.2564,-40.7694,-2.68754,0.625,1.11133,3.84435
20130123,6.925,52.444,160.909,1.285,52.58832554,41.31356569,332.291,8.99301,-23.7448,-2.4601,0.8125,1.04689,3.34383
20130124,6.938,86.35,162.76,1.988,165.1038992,93.59673844,337.998,16.4541,-5.03697,-2.93228,1,1.04873,3.90838
20130125,7.182,84.104,164.66,3.9,159.7370333,80.7133345,349.572,36.4549,-21.34,-3.35499,1,1.10094,4.43208
20130126,4.668,109.123,166.61,3.126,199.4595742,66.89698094,355.242,26.8648,-3.71601,-2.46186,0.979167,1.23498,3.60113
20130127,4.553,105.973,168.608,2.221,195.4041448,80.79741673,360.698,18.7565,1.45351,-1.82595,1,1.45294,3.19619
20130128,5.507,23.746,170.654,0.659,50.1060925,50.1263421,320.833,1.51798,-30.6213,0.01925,1,1.77743,1.75818
20130129,6.927,107.528,172.747,2.076,206.1784288,76.76504388,349.48,22.4399,-1.69868,-1.9065,1,2.18521,3.83245
20130130,10.894,18.466,174.886,1.355,39.45410604,39.5573471,328.711,2.01561,-17.5542,2.15383,1,2.7724,0.618575
20130131,11.442,101.458,177.072,1.694,195.8413589,103.7967019,329.867,17.6389,13.2987,-2.89587,1,3.18169,6.06181
20130201,12.755,95.121,179.302,1.697,189.1313818,76.24025775,327.602,16.304,2.59926,-1.30746,0.979167,3.6614,4.93789
20130202,10.655,15.908,181.575,1.527,34.05631754,33.93823375,321.435,3.33948,-24.6638,2.32234,1,3.67215,1.3498
20130203,8.2,98.035,183.891,5.207,189.6661554,82.88783479,347.928,63.1678,-23.678,-2.3519,0.9375,3.32955,5.6558
20130204,6.07,114.753,186.25,2.93,226.617244,63.50995931,356.13,24.3296,4.50551,-1.93744,0.979167,3.01108,4.91068
20130205,7.724,44.072,188.649,1.355,87.77938415,74.31075246,338.511,4.87443,-11.0307,0.653236,1,2.94757,2.29433
20130206,10.356,122.857,191.088,4.991,236.796698,64.93553938,336.129,48.5133,-12.2565,-2.10631,0.979167,2.83593,4.94224
20130207,6.582,109.58,193.566,3.564,207.6899598,108.8231835,342.319,39.4046,-10.9815,-2.48409,0.979167,2.29625,4.77889
20130208,5.316,100.56,196.083,4.395,187.8796985,66.82741167,354.698,30.172,-13.2166,-1.56635,1,1.94335,3.50907
20130209,4.02,97.575,198.636,3.76,186.8296663,114.2329362,351.814,28.7033,-10.0047,-2.52667,1,1.68724,4.2051
