TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20060101,7.163,9.409,133.984,0.036,28.66270833,19.46434896,428.859,0.422365,-14.9503,1.42675,1,1.28913,-0.137617
20060102,5.495,67.8,134.609,0.174,145.0477083,64.08296875,423.262,1.46108,-14.011,-1.42553,1,1.2044,2.62993
20060103,5.766,83.921,135.292,1.274,179.6135417,46.52359375,413.022,6.74504,-14.7139,-1.87181,0.958333,1.21854,3.09035
20060104,5.097,46.625,136.034,2.397,95.47229167,75.57921875,411.573,-0.965561,-39.4565,-1.10108,1,1.17142,2.2725
20060105,4.384,94.45,136.835,2.526,187.7772917,76.13992188,415.2,7.60571,-13.7226,-2.28706,1,1.11388,3.40094
20060106,3.298,93.771,137.694,1.974,194.3229167,55.93182292,420.529,5.23872,-9.02233,-1.93934,1,1.03929,2.97863
20060107,4.102,93.813,138.612,2.22,194.66875,58.18382813,421.049,6.83479,-9.16524,-2.10503,1,1.0558,3.16083
20060108,5.002,89.106,139.588,2.771,182.6085417,68.3403125,410.065,6.85992,-23.21,-2.34466,1,1.07685,3.42151
20060109,3.339,96.777,140.621,3.025,194.755,64.18057292,406.923,6.60772,-2.25393,-1.9813,0.979167,0.996415,2.97772
20060110,2.786,101.113,141.712,2.818,203.9185417,54.05325521,419.91,5.8657,5.23575,-1.81837,1,0.971266,2.78963
20060111,3.5,100.023,142.86,2.913,205.69875,53.13507813,426.769,4.47424,-4.76951,-1.58504,1,1.00353,2.58857
20060112,3.632,103.21,144.064,2.246,214.601875,48.53898438,430.236,4.93462,3.65523,-1.63947,0.958333,0.937354,2.57683
20060113,4.177,102.213,145.325,3.002,208.0558333,54.85283854,406.752,6.32675,-17.1819,-1.91064,1,0.755296,2.66594
20060114,2.091,104.369,146.642,2.475,205.403125,62.37466146,421.045,2.93535,-2.55844,-1.30175,0.979167,0.492305,1.79406
20060115,2.235,98.292,148.015,2.545,189.2304167,80.36166667,419.006,0.0823078,-15.6482,-0.887433,0.979167,0.299773,1.18721
20060116,3.012,41.52,149.442,1.94,86.47375,64.7678125,416.635,0.0265999,-15.9802,-0.0444461,0.979167,0.110269,0.154715
20060117,6.239,10.83,150.925,0.877,31.42791667,22.00763021,410.059,1.18024,-64.6163,0.27134,1,0.0756397,-0.1957
20060118,10.011,8.017,152.461,0.678,26.124375,16.78057292,402.23,2.84884,-120.218,-0.29102,1,0.26854,0.55956
20060119,7.532,108.088,154.052,1.657,231.0572917,52.63778646,418.864,1.82501,-18.9236,-2.02361,0.916667,0.420717,2.44433
20060120,6.525,109.564,155.695,2.979,228.4325,54.91723958,418.973,19.5226,-12.3007,-2.18004,0.916667,0.577066,2.75711
20060121,6.517,11.89,157.391,0.739,33.07541667,23.49796875,427.058,0.0869548,-23.1561,0.896404,1,0.829843,-0.0665603
20060122,6.637,99.429,159.139,2.566,201.8189583,65.12825521,419.621,37.2909,-27.4703,-1.86108,0.958333,1.14636,3.00745
20060123,3.978,117.163,160.939,4.32,225.1220833,64.59403646,403.35,37.2015,-29.7262,-3.05444,1,1.2984,4.35285
20060124,2.011,119.098,162.789,4.045,228.320625,64.44463542,403.843,24.7782,-25.8665,-2.37176,1,1.44113,3.81289
20060125,0.705,121.508,164.689,3.734,230.79875,66.76955729,407.325,12.5239,1.64093,-1.61722,1,1.58495,3.20217
20060126,1.88,13.252,166.639,2.006,35.95333333,26.24070313,412.689,1.70678,-55.8539,0.634109,1,1.77557,1.14146
20060127,6.169,13.564,168.637,1.22,36.15270833,26.46322917,402.877,-1.74585,-87.3392,0.990045,1,2.21979,1.22975
