TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,-0.54,10.219,75.0615,0.808,-9999,-9999,416.169,-5.52777,4.10425,-1.68572,0.958333,0,1.52212
20040102,-2.031,43.691,75.6416,1.094,-9999,-9999,407.167,11.078,6.53589,-1.7678,0.916667,0,1.72313
20040103,-3.162,22.175,76.2775,0.819,-9999,-9999,409.222,19.1036,-11.1919,-0.139211,0.979167,0,0.126225
20040104,0.993,20.08,76.9694,0.743,-9999,-9999,407.071,10.0614,-10.766,-0.0103819,0.979167,4.76E-07,0.0205789
20040105,3.683,14.225,77.7182,0.686,-9999,-9999,410.1,4.17442,-25.0831,0.357339,0.875,5.40E-07,-0.276871
20040106,5.986,3.317,78.5231,0.565,-9999,-9999,404.153,18.2165,-49.2291,0.689845,0.0833333,9.94E-07,-0.411318
20040107,5.669,10.168,79.3844,0.486,-9999,-9999,398.216,30.1807,-30.6458,0.53146,0,8.65E-07,-0.523435
20040108,4.925,24.246,80.3021,0.959,-9999,-9999,394.283,23.5788,-69.6616,0.500025,0,1.02E-06,-0.490698
20040109,5.722,9.904,81.2763,0.852,-9999,-9999,391.826,29.0975,-43.4408,0.864513,0,1.04E-06,-0.86372
20040110,4.674,25.255,82.3071,0.647,-9999,-9999,401.112,25.5413,-11.5456,0.54606,0,9.08E-07,-0.545917
20040111,8.765,8.395,83.3944,1.401,-9999,-9999,397.642,87.02,-80.7729,1.27418,0,1.04E-06,-1.27418
20040112,5.021,10.54,84.5384,1.215,-9999,-9999,415.039,6.80288,-22.5667,0.765747,0,1.04E-06,-0.815824
20040113,6.729,17.966,85.7388,1.675,-9999,-9999,412.767,19.2127,-70.7835,0.293274,0,1.04E-06,-0.348016
20040114,4.476,13.865,86.9958,1.539,-9999,-9999,416.33,6.8717,-15.889,0.303233,0.0416667,6.92E-07,-0.303189
20040115,4.159,18.005,88.3089,1.045,-9999,-9999,412.449,8.75351,-24.5565,-0.293466,0.270833,8.22E-07,0.293467
