TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20070101,2.383,10.187,165.759,1.036,20.74875,21.20708333,393.12,-0.0340829,-12.6971,1.00093,1,0.990696,-0.0102298
20070102,2.544,118.644,166.385,1.526,235.02125,62.23791667,394.777,8.60808,22.5058,0.870152,0.958333,1.00023,0.304581
20070103,4.876,119.01,167.069,2.482,232.9025,59.447125,400.275,4.72621,3.09829,1.13725,0.958333,1.1449,0.00765002
20070104,8.808,49.275,167.812,2.485,97.95541667,85.69,397.105,4.72095,-20.7548,1.34125,1,1.35758,0.0163295
20070105,12.797,12.617,168.611,0.024,27.89333333,27.51666667,397.976,-1.69943,-27.3454,1.73409,0.958333,1.54003,-0.194057
20070106,6.315,51.56,169.47,1.183,101.7208333,80.55708333,392.713,4.66781,12.3301,1.13017,1,1.08538,-0.0447923
20070107,2.828,10.532,170.385,0.28,22.73833333,22.83208333,399.851,-0.296814,-15.1664,0.993405,1,0.841704,-0.151701
20070108,1.59,104.295,171.357,2.462,200.1829167,74.36,390.787,10.7627,10.735,0.648856,1,0.736112,0.0872556
20070109,1.057,103.037,172.386,2.331,197.3329583,80.965,394.455,8.51255,44.7596,0.554058,1,0.66944,0.115382
20070110,-1.473,119.129,173.471,2.493,235.0841667,77.68333333,394.393,7.90404,15.3126,0.474957,0.875,0.542332,0.067375
20070111,4.902,89.413,174.612,5.077,172.9808333,113.7445833,394.255,11.994,-16.0032,0.669273,1,0.778315,0.109042
20070112,11.313,7.797,175.808,1.527,16.95208333,16.91375,392.344,-10.3195,3.49068,1.44259,1,1.00956,-0.433031
20070113,6.095,17.737,177.059,0.004,37.80958333,37.40083333,402.799,2.96493,-8.21892,1.40453,1,0.749192,-0.655342
20070114,3.89,17.121,178.364,0,37.435,36.7675,401.567,4.41479,-12.8925,1.01202,1,0.625945,-0.386079
20070115,4.276,9.301,179.724,0.364,20.15125,19.79125,401.342,2.71601,5.20542,0.995764,1,0.611223,-0.384542
20070116,-4.883,74.307,181.136,1.003,142.3491667,99.67125,393.494,9.73853,46.8435,0.738234,0.833333,0.302598,-0.435636
20070117,-5.05,135.25,182.601,1.374,267.2370833,84.05625,396.473,8.94854,43.5242,0.487668,0.625,0.280498,-0.207056
20070118,0.278,44.696,184.118,1.873,87.71375,84.96375,398.873,2.78817,-0.767532,0.62193,1,0.388191,-0.233739
20070119,-1.445,134.049,185.687,2.062,263.195,63.365,393.783,7.33867,54.1194,0.777948,1,0.322971,-0.455038
20070120,-2.983,128.35,187.306,1.842,250.12125,79.56333333,397.28,4.86383,34.8362,0.631656,0.958333,0.289473,-0.342225
20070121,-0.514,17.303,188.975,0.462,36.55875,36.42083333,400.305,-1.19497,-1.46977,0.507353,1,0.386888,-0.118901
20070122,-0.717,12.555,190.694,0.36,26.97125,27.155,403.347,1.52835,-1.10035,0.53,1,0.421436,-0.106195
20070123,-1.299,101.931,192.461,1.319,200.2095833,91.44541667,396.021,3.92996,25.5053,0.100195,1,0.447707,0.360866
20070124,-2.534,109.729,194.276,0.753,212.2708333,123.8141667,401.538,5.01136,43.4905,0.42476,1,0.444519,0.0201335
20070125,-4.44,149.858,196.138,1.412,286.9725,66.74041667,396.247,6.69184,71.4176,0.809773,1,0.414288,-0.395485
20070126,-0.564,145.655,198.046,2.465,292.8779167,65.98791667,397.548,0.520583,-1.67888,0.794672,1,0.56483,-0.229842
20070127,1.602,39.43,200,1.91,78.60208333,75.09629167,394.326,-0.0575196,6.27542,0.56812,1,0.602987,0.0348673
20070128,-10.277,77.293,201.997,0.633,143.4233333,120.1933333,394.571,4.44121,49.3433,0.0144591,1,0.215878,0.201339
20070129,-6.849,119.706,204.039,1.35,226.3454167,121.795,397.233,3.49958,26.5497,0.318031,1,0.306777,-0.0127008
20070130,-8.729,141.43,206.123,0.932,264.7908333,95.43041667,395.051,2.75857,58.9724,0.588012,1,0.252554,-0.335444
20070131,-9.086,140.75,208.249,1.053,256.56375,134.6320833,395.678,6.75698,31.0802,0.444582,0.958333,0.256986,-0.180239
20070201,-5.283,25.833,210.415,0.669,53.69666667,52.3425,399.732,0.947574,4.06042,0.427702,1,0.484677,0.0569746
20070202,-7.417,120.377,212.622,1.101,227.1129167,125.089625,394.722,9.15733,61.1567,0.461561,1,0.528916,0.0589772
20070203,-11.06,145.842,214.867,1.187,271.0704167,100.2195833,393.246,5.31609,46.4609,0.903262,1,0.459216,-0.465945
20070204,-13.567,145.691,217.15,0.825,272.1141667,104.7329583,392.245,2.30737,46.3533,0.509546,1,0.416422,-0.103099
20070205,-16.118,170.579,219.469,0.745,322.94625,75.85083333,391.807,3.47412,63.9777,0.496895,1,0.340917,-0.186442
20070206,-12.256,25.778,221.825,0.502,54.75333333,54.74583333,398.02,1.59125,3.10658,0.822557,1,0.609313,-0.394172
20070207,-12.255,144.787,224.215,0.838,279.7895833,174.96625,400.261,4.54924,44.5564,0.63072,0.958333,0.590548,-0.118594
20070208,-12.35,180.042,226.639,1.218,351.8066667,76.37125,394.989,4.52267,67.7592,0.64899,1,0.561008,-0.213913
20070209,-11.803,167.041,229.095,1.12,333.75625,91.22166667,396.92,2.98254,60.8699,0.512406,0.958333,0.514186,-0.0370798
20070210,-11.451,180.867,231.583,1.018,352.305,79.5175,395.751,4.02312,74.9168,0.663653,1,0.421917,-0.291508
