TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20130101,-9.425,89.437,128.794,0.263,-9999,-9999,402.958,11.9736,22.854,3.34634,0.916667,1.32666,-1.8953
20130102,-13.015,97.333,129.417,0.255,-9999,-9999,402.509,21.3746,24.0083,2.74356,0.916667,0.829457,-1.80174
20130103,-9.505,87.37,130.099,0.727,177.8490233,-9999,402.001,19.5443,12.4179,1.93472,0.895833,1.34781,-0.467322
20130104,-2.694,92.033,130.84,1.636,177.0319167,-9999,399.504,5.02798,-8.83025,1.25365,0.916667,2.61624,1.45367
20130105,-5.193,20.266,131.639,0.761,50.9185,-9999,401.108,1.33196,-0.829021,0.789603,1,2.05696,1.38595
20130106,0.027,92.346,132.497,1.436,176.1255417,-9999,397.791,16.132,-0.575646,2.4892,0.979167,3.2144,0.788402
20130107,3.314,71.684,133.413,1.935,144.0702917,-9999,399.307,51.154,-19.7296,3.91874,1,4.03372,0.120449
20130108,4.48,46.378,134.387,2.324,93.4496875,-9999,397.923,23.2365,-31.9854,3.86096,1,3.89964,0.0320357
20130109,0.537,44.415,135.419,2.531,79.97804167,-9999,398.429,47.1154,-10.4924,1.57838,1,2.63387,1.10301
20130110,-4.964,63.435,136.509,0.839,88.1918,-9999,400.704,19.2701,-18.3613,0.674959,0.958333,1.52852,0.962784
20130111,-6.76,86.135,137.655,1.081,147.2769574,-9999,401.555,7.49364,4.07312,0.638391,0.9375,1.25211,0.72772
20130112,-7.895,83.692,138.859,1.051,161.2004894,-9999,399.99,6.84925,16.0052,1.63713,1,1.08551,-0.436522
20130113,-7.073,100.866,140.119,1.678,193.7752553,-9999,398.978,4.87679,29.4604,0.874874,0.875,1.16437,0.407864
20130114,-2.46,97.402,141.436,2.418,194.5581277,-9999,396.949,1.65333,15.1474,0.24968,0.729167,1.7546,1.62406
20130115,5.865,102.8,142.808,7.022,199.0932128,-9999,400.161,8.90792,-1.64708,1.10135,0.583333,3.11585,2.07453
20130116,10.616,105.627,144.235,10.71,204.8537021,-9999,404.028,5.48456,17.5202,1.37631,0.729167,3.85127,2.51236
20130117,5.52,109.069,145.718,6.101,208.9684894,-9999,404.729,3.65269,16.3392,1.86131,0.333333,2.84453,1.06864
20130118,5.592,90.58,147.255,6.227,200.2372979,-9999,405.009,3.3779,2.0615,1.28842,0.604167,2.7801,1.58929
20130119,9.413,111.867,148.846,9.511,215.3569362,-9999,403.404,5.67942,19.7434,1.13439,0.5625,3.34331,2.30525
