TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20010101,-9999,-9999,152.336,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.0881898,0.377299
20010102,-9999,-9999,152.962,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.218966,0.743888
20010103,-9999,-9999,153.648,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.567023,1.02722
20010104,-9999,-9999,154.392,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.87774,1.16685
20010105,-9999,-9999,155.194,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.864577,1.3895
20010106,-9999,-9999,156.055,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.984644,1.44484
20010107,-9999,-9999,156.973,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.888773,1.17788
20010108,-9999,-9999,157.95,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.646497,1.17142
20010109,-9999,-9999,158.983,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.584178,1.04437
20010110,-9999,-9999,160.072,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.09048,1.37959
20010111,-9999,-9999,161.219,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.981528,1.50645
20010112,-9999,-9999,162.422,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.675559,1.13575
20010113,-9999,-9999,163.68,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.911924,1.20103
20010114,-9999,-9999,164.993,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.773479,1.2984
20010115,-9999,-9999,166.361,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.492192,0.952386
20010116,-9999,-9999,167.783,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.425568,0.714678
20010117,-9999,-9999,169.259,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.448309,0.973231
20010118,-9999,-9999,170.788,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.604163,1.06436
20010119,-9999,-9999,172.369,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.110951,0.400061
20010120,-9999,-9999,174.002,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.300819,0.825741
20010121,-9999,-9999,175.686,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.371266,0.831461
20010122,-9999,-9999,177.421,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.605164,0.894274
20010123,-9999,-9999,179.205,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.565855,1.09078
20010124,-9999,-9999,181.039,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.318086,0.77828
20010125,-9999,-9999,182.921,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.418955,0.708065
20010126,-9999,-9999,184.85,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.577626,1.10255
20010127,-9999,-9999,186.827,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.357172,0.817367
20010128,-9999,-9999,188.849,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.611867,0.900977
20010129,-9999,-9999,190.916,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.679742,1.20466
20010130,-9999,-9999,193.028,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.704711,1.16491
20010131,-9999,-9999,195.183,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.596191,0.885301
20010201,-9999,-9999,197.38,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.1733,0.698222
20010202,-9999,-9999,199.619,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.283964,0.744158
20010203,-9999,-9999,201.898,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.795525,1.08463
20010204,-9999,-9999,204.217,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.804551,1.32947
20010205,-9999,-9999,206.575,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.942305,1.4025
20010206,-9999,-9999,208.97,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.63665,0.92576
20010207,-9999,-9999,211.402,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.817991,1.34291
20010208,-9999,-9999,213.868,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.561263,1.02146
20010209,-9999,-9999,216.369,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.157242,0.446352
20010210,-9999,-9999,218.905,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.0491651,0.574087
20010211,-9999,-9999,221.472,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.340882,0.801076
20010212,-9999,-9999,224.07,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.381549,0.670659
20010213,-9999,-9999,226.698,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.74006,1.26498
20010214,-9999,-9999,229.356,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.228663,0.688857
20010215,-9999,-9999,232.041,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.191354,0.480464
20010216,-9999,-9999,234.752,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.176986,0.701908
20010217,-9999,-9999,237.489,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.131088,0.591283
20010218,-9999,-9999,240.251,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.507584,0.796694
20010219,-9999,-9999,243.036,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.680125,1.20505
20010220,-9999,-9999,245.842,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.444699,0.904893
20010221,-9999,-9999,248.671,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.217388,0.506498
20010222,-9999,-9999,251.518,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.487495,1.01242
20010223,-9999,-9999,254.384,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.527807,0.988001
20010224,-9999,-9999,257.268,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.96207,1.25118
20010225,-9999,-9999,260.167,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.470413,0.995335
20010226,-9999,-9999,263.082,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.533722,0.993917
20010227,-9999,-9999,266.011,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.184895,0.474004
20010228,-9999,-9999,268.952,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.281368,0.80629
20010301,-9999,-9999,271.905,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.568981,1.02918
20010302,-9999,-9999,274.869,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.610161,0.899271
20010303,-9999,-9999,277.842,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.54101,1.06593
20010304,-9999,-9999,280.824,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.526212,0.986407
20010305,-9999,-9999,283.812,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.470552,0.759662
20010306,-9999,-9999,286.806,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.55996,1.08488
20010307,-9999,-9999,289.806,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.739224,1.19942
20010308,-9999,-9999,292.809,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.722573,1.01168
20010309,-9999,-9999,295.815,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.860204,1.38513
20010310,-9999,-9999,298.824,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.06554,1.52573
20010311,-9999,-9999,301.832,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.686153,0.975262
20010312,-9999,-9999,304.84,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.893634,1.41856
20010313,-9999,-9999,307.847,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.25968,1.71987
20010314,-9999,-9999,310.851,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.59915,1.88826
20010315,-9999,-9999,313.853,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.00775,1.53267
20010316,-9999,-9999,316.849,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.864597,1.32479
20010317,-9999,-9999,319.841,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.862624,1.15173
20010318,-9999,-9999,322.826,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.03837,1.56329
20010319,-9999,-9999,325.803,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.24396,1.70416
20010320,-9999,-9999,328.774,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.45523,1.74434
20010321,-9999,-9999,331.734,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.53758,2.06251
20010322,-9999,-9999,334.685,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.69413,2.15432
20010323,-9999,-9999,337.626,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.09932,1.38843
20010324,-9999,-9999,340.554,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,0.707718,1.23264
20010325,-9999,-9999,343.47,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,0.633945,1.09414
20010326,-9999,-9999,346.373,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,0.652818,0.941928
20010327,-9999,-9999,349.262,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.05872,1.58364
20010328,-9999,-9999,352.136,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.43352,1.89372
20010329,-9999,-9999,354.994,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.46683,1.75594
20010330,-9999,-9999,357.836,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.54966,2.07458
20010331,-9999,-9999,360.661,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.29228,1.75248
20010401,-9999,-9999,363.467,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.38417,1.67328
20010402,-9999,-9999,366.255,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.70088,2.2258
20010403,-9999,-9999,369.024,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.38102,1.84122
20010404,-9999,-9999,371.772,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.9257,2.21481
20010405,-9999,-9999,374.501,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.24298,2.7679
20010406,-9999,-9999,377.208,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.41028,2.87048
20010407,-9999,-9999,379.892,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.46556,2.75467
20010408,-9999,-9999,382.556,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.31898,2.8439
20010409,-9999,-9999,385.195,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.10975,2.56995
20010410,-9999,-9999,387.81,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.15427,2.44338
20010411,-9999,-9999,390.402,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.36954,2.89446
20010412,-9999,-9999,392.969,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.74142,2.20161
20010413,-9999,-9999,395.509,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.87738,2.16649
20010414,-9999,-9999,398.024,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.98156,2.50648
20010415,-9999,-9999,400.513,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.76331,2.2235
20010416,-9999,-9999,402.974,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,1.16119,1.4503
20010417,-9999,-9999,405.408,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.16162,1.68655
20010418,-9999,-9999,407.814,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.71569,2.17589
20010419,-9999,-9999,410.192,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.45749,2.7466
20010420,-9999,-9999,412.54,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.83861,3.36353
20010421,-9999,-9999,414.86,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.6297,3.0899
20010422,-9999,-9999,417.149,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.52906,2.81817
20010423,-9999,-9999,419.408,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,1.67825,2.20317
20010424,-9999,-9999,421.636,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.97708,2.43727
20010425,-9999,-9999,423.834,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.38146,2.67057
20010426,-9999,-9999,426,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.9572,3.48212
20010427,-9999,-9999,428.133,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.96215,3.42234
20010428,-9999,-9999,430.235,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,3.16876,3.45787
20010429,-9999,-9999,432.304,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,3.23741,3.76233
20010430,-9999,-9999,434.341,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,3.01155,3.47175
20010501,-9999,-9999,436.343,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,3.33897,3.62808
20010502,-9999,-9999,438.312,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.27848,2.8034
20010503,-9999,-9999,440.246,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.99807,2.45827
20010504,-9999,-9999,442.147,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.19384,2.48295
20010505,-9999,-9999,444.014,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.67007,3.19499
20010506,-9999,-9999,445.844,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.54342,3.00361
20010507,-9999,-9999,447.64,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.2845,2.57361
20010508,-9999,-9999,449.4,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.59864,3.12356
20010509,-9999,-9999,451.124,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,3.20634,3.66654
20010510,-9999,-9999,452.812,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,3.34815,3.63726
20010511,-9999,-9999,454.463,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.63429,3.15921
20010512,-9999,-9999,456.078,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.58553,3.04573
20010513,-9999,-9999,457.656,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,3.42897,3.71808
20010514,-9999,-9999,459.197,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,3.75075,4.27567
20010515,-9999,-9999,460.7,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,3.91387,4.37407
20010516,-9999,-9999,462.166,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,3.62333,3.91244
20010517,-9999,-9999,463.592,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,3.35196,3.87688
20010518,-9999,-9999,464.982,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,3.05256,3.51275
20010519,-9999,-9999,466.333,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,3.1767,3.46581
20010520,-9999,-9999,467.645,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.71015,3.23508
20010521,-9999,-9999,468.919,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.11624,2.57644
20010522,-9999,-9999,470.154,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.19957,2.48868
20010523,-9999,-9999,471.349,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.00843,2.53335
20010524,-9999,-9999,472.505,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,1.87405,2.33424
20010525,-9999,-9999,473.622,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.28073,2.56984
20010526,-9999,-9999,474.698,-9999,-9999,-9999,-9999,106.725,29.1632,-0.379729,0,2.55961,3.08453
20010527,-9999,-9999,475.734,-9999,-9999,-9999,-9999,103.246,10.8294,-0.462021,0,2.81156,3.27175
20010528,-9999,-9999,476.731,-9999,-9999,-9999,-9999,130.205,18.3874,-0.255461,0,2.75185,3.04096
20010529,-9999,-9999,477.688,-9999,-9999,-9999,350.202,106.725,29.1632,-0.379729,0,2.62485,3.14977
20010530,21.342,164.329,478.604,2.226,-9999,-9999,355.452,103.246,10.8294,-0.462021,0,2.27221,2.7324
20010531,20.995,250.268,479.479,5.768,-9999,-9999,358.412,130.205,18.3874,-0.255461,0,2.16871,2.45782
20010601,22.862,247.277,480.314,3.573,-9999,-9999,350.202,106.725,29.1632,-0.379729,0,2.62668,3.1516
20010602,21.342,164.329,481.108,2.226,-9999,-9999,355.452,103.246,10.8294,-0.462021,0,2.46432,2.92452
20010603,20.995,250.268,481.861,5.768,-9999,-9999,358.412,130.205,18.3874,-0.255461,0,2.24574,2.53485
20010604,22.862,247.277,482.573,3.573,-9999,-9999,350.202,106.725,29.1632,-0.379729,0,2.21332,2.73824
20010605,21.342,164.329,483.244,2.226,-9999,-9999,355.452,103.246,10.8294,-0.462021,0,2.65658,3.11677
20010606,20.995,250.268,483.874,5.768,-9999,-9999,358.412,130.205,18.3874,-0.255461,0,2.80993,3.09904
20010607,22.862,247.277,484.462,3.573,-9999,-9999,350.202,106.725,29.1632,-0.379729,0,3.07266,3.59758
20010608,21.342,164.329,485.009,2.226,-9999,-9999,355.452,103.246,10.8294,-0.462021,0,3.04771,3.50791
20010609,20.995,250.268,485.515,5.768,-9999,-9999,358.412,130.205,18.3874,-0.255461,0,3.26353,3.55264
20010610,22.862,247.277,485.978,3.573,-9999,-9999,350.202,106.725,29.1632,-0.379729,0,3.80868,4.3336
20010611,22.739,156.86,486.401,0.522,-9999,-9999,350.202,94.5449,13.8208,-0.408333,0,4.07193,4.47844
20010612,22.739,156.86,486.781,0.522,-9999,-9999,350.202,102.867,13.8208,0.0425601,0,4.0206,4.01169
20010613,22.764,156.944,487.12,0.734,-9999,-9999,350.375,102.677,14.7821,-0.413547,0.416667,4.08606,4.53917
20010614,19.892,172.354,487.417,3.946,370.5375,-9999,360.804,100.325,8.48333,-0.796019,0.916667,3.15425,3.97006
20010615,20.691,354.079,487.673,10.921,739.1625,-9999,364.396,151.933,26.7542,-0.685824,0.958333,3.28779,4.16329
20010616,23.104,348.733,487.886,14.633,736.7708333,-9999,362.263,95.374,50.1417,-1.76329,0.958333,3.63893,5.1967
20010617,25.275,219.746,488.057,11.875,472.325,-9999,357.65,67.7371,29.1132,-1.3763,1,4.05749,5.42311
20010618,27.834,328.179,488.187,18.858,694.3458333,-9999,346.617,119.117,42.225,-3.80013,1,4.59642,8.39655
20010619,16.393,144.525,488.275,3.467,310.95,-9999,361.104,72.9723,10.0282,-1.84312,0.958333,2.95698,4.74523
20010620,18.323,175.717,488.322,2.646,374.3083333,-9999,381.846,62.8329,26.9792,-2.16706,0.916667,3.34799,5.48266
20010621,19.242,316.538,488.326,8.538,659.9625,-9999,364.437,101.812,37.7542,-4.93304,0.75,3.62245,8.95662
20010622,18.448,356.517,488.289,9.504,740.3916667,-9999,379.529,71.0625,74.7083,-3.97413,0.875,3.60067,7.69591
20010623,22.013,347.196,488.209,10.138,731.5416667,-9999,357.383,86.2208,68.375,-5.72954,0.791667,4.32637,10.3524
20010624,26.637,336.442,488.089,14.767,713.5583333,-9999,355.287,116.513,30.9208,-7.42374,1,5.2992,12.8015
20010625,27.084,344.508,487.925,16.637,722.0916667,-9999,345.825,129.021,32.5583,-8.6503,1,5.5154,14.1657
20010626,24.635,144.063,487.722,9.129,310.9541667,-9999,349.246,57.3834,1.95833,-4.63435,1,5.14352,9.78306
20010627,25.285,313.096,487.476,10.963,649.1375,-9999,352.583,105.871,30.5375,-9.79795,1,5.38196,14.9405
20010628,24.889,323.367,487.19,11.288,669.6791667,-9999,350.396,120.14,35.4244,-10.6808,1,5.39746,16.0776
20010629,25.413,325.454,486.862,11.842,684.1583333,-9999,360.383,127.25,35.4458,-12.9762,1,5.7255,18.7048
20010630,26.844,296.85,486.492,12.433,633.7458333,-9999,376.379,114.392,32.5042,-10.9863,1,6.33648,17.193
20010701,20.017,140.171,486.08,5.325,299.4291667,-9999,375.867,85.8091,15.8205,-2.67913,0.875,5.04616,7.52111
20010702,23.084,282.704,485.629,10.963,601.1166667,-9999,349.696,130.536,21.8613,-11.0507,0.958333,6.06996,17.013
20010703,25.721,308.179,485.137,8.588,615.3565217,-9999,370.546,152.469,6.7875,-12.2496,0.916667,6.94541,19.1888
20010704,25.913,338.154,484.603,11.488,724.3291667,-9999,383.892,178.279,10.5958,-13.6049,1,7.27249,21.3236
20010705,24.424,345.133,484.029,11,723.9208333,-9999,356.912,156.658,18.7333,-12.737,1,7.0872,19.7433
20010706,28.346,308.121,483.415,15.437,654.3541667,-9999,354.983,175.767,-17.5188,-14.4579,1,8.41522,22.8727
20010707,28.642,287.337,482.759,12.804,610.7166667,-9999,373.533,135.725,4.4375,-13.894,0.916667,8.4421,22.2833
20010708,27.04,181.254,482.065,9.358,393.4,-9999,373.613,88.7104,0.170833,-7.92046,0.958333,7.8977,15.912
20010709,26.67,252.283,481.329,10.063,541.025,-9999,396.921,126.217,4.2125,-14.3262,0.958333,7.72551,21.9392
20010710,24.354,161.829,480.555,6.413,344.1,-9999,366.787,81.5124,0.1625,-7.9322,1,7.01279,15.0477
20010711,22.928,148.008,479.74,5.587,313.7208333,-9999,361.404,80.1407,2.06924,-6.98665,1,6.63828,13.6614
20010712,22.688,290.083,478.886,8.221,619.1541667,-9999,343.208,132.725,27.9917,-16.5348,1,6.68293,23.3939
20010713,22.363,311.704,477.993,9.688,659.9375,-9999,361.775,129.096,29.375,-15.7906,0.791667,6.72109,22.6337
20010714,22.657,317.442,477.059,8.996,664.7583333,-9999,374.229,143.204,21.0083,-17.9147,0.791667,6.90811,24.7512
20010715,22.585,141.438,476.088,6.892,296.1083333,-9999,337.946,64.1292,-3.82079,-8.14646,0.958333,6.9819,15.1313
20010716,26.496,280.712,475.078,10.042,596.7333333,-9999,334.717,141.659,3.40833,-16.8918,1,8.24706,25.1355
20010717,28.703,299.158,474.029,10.258,640.2125,-9999,348.742,161.476,3.40521,-16.2062,0.958333,9.06317,25.1766
20010718,27.039,177.025,472.942,8.508,375.0833333,-9999,355.267,108.23,-16.2354,-10.0828,1,8.69095,18.751
20010719,25.705,225.371,471.817,6.483,482.6916667,-9999,352.321,121.637,1.61779,-12.9755,0.916667,8.32548,21.3246
20010720,27.708,179.283,470.654,7.446,384.220875,-9999,358.258,105.093,-12.7875,-10.7623,1,8.87598,19.5864
20010721,29.186,317.346,469.453,11.225,685.65,-9999,349.446,183.992,-7.00417,-17.6775,1,9.26656,26.9386
20010722,29.995,309.221,468.215,12.942,668.3791667,-9999,353.221,185.636,-8.80714,-16.5239,1,9.43104,25.9544
20010723,27.398,213.883,466.941,9.833,459.9,-9999,366.95,128.059,-10.1625,-10.31,1,8.55848,18.8727
20010724,26.075,179.688,465.629,5.837,386.8416667,-9999,373.987,90.8985,9.43333,-9.29175,1,8.15002,17.4893
20010725,22.311,104.021,464.281,3.679,225.1416667,-9999,357.567,39.4772,13.8083,-4.66305,1,7.04751,11.7036
20010726,22.462,98.675,462.896,3.204,209.1166667,-9999,352.462,41.4386,7.03229,-4.86187,0.958333,7.09632,11.9582
20010727,23.345,125.563,461.476,2.987,267.8958333,229.3291667,355.633,60.9807,7.34722,-6.86176,1,7.36514,14.2269
20010728,26.125,251.029,460.019,8.308,534.7625,232.1708333,363.321,125.629,17.8042,-12.57,1,8.27062,21.309
20010729,26.54,316.821,458.527,8.425,671.3,148.1416667,375.337,172.996,16.0708,-15.598,1,8.54597,24.1117
20010730,29.889,308.975,457,11.671,654.9375,178.1083333,363.571,189.233,-11.8917,-14.2169,1,9.73623,23.9524
20010731,30.16,307.754,455.437,15.108,654.0625,152.1708333,358.096,201.508,-24.2708,-12.0285,1,9.84602,21.8745
20010801,30.054,290.763,453.84,15.054,620.8916667,164.875,363.213,179.52,-8.35,-12.3562,0.958333,9.71219,22.1023
20010802,28.708,304.279,452.209,10.837,655.05,169.3041667,377.067,145.832,25.0417,-12.7235,1,9.18261,21.9264
20010803,27.85,291.096,450.544,9.112,622.0666667,225.5458333,373.35,150.371,24.7625,-12.8248,1,8.8215,21.6084
