TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20040101,-1.776,34.837,120.89,1.215,66.99341667,58.02875,388.822,4.54933,-2.98447,0.62476,1,0.96882,0.382955
20040102,0.703,35.578,121.511,0.488,68.419375,57.43758333,395.037,5.58829,-2.35918,0.621402,1,1.18652,0.598827
20040103,0.329,78.84,122.189,1.356,151.61625,76.33820833,391.438,15.9642,19.5821,1.21865,1,1.16585,-0.0219562
20040104,-6.59,49.37,122.927,1.149,94.94245833,79.614125,386.743,11.1204,26.7045,0.72357,1,0.608852,-0.0853022
20040105,-8.213,45.867,123.723,0.78,88.20516667,74.425375,385.14,4.3517,12.3341,0.706742,1,0.507548,-0.177266
20040106,-13.615,36.399,124.578,0.565,69.99820833,59.16179167,381.695,-1.69478,-10.6354,0.869929,0.958333,0.238956,-0.617441
20040107,-10.708,49.229,125.49,1.033,94.67095833,72.70325,383.293,0.963779,-8.76696,0.538792,0.958333,0.365549,-0.175381
20040108,-11.116,101.289,126.461,0.875,194.7875417,76.69266667,383.516,1.19533,19.3294,0.910995,0.916667,0.342045,-0.567434
20040109,-15.475,97.613,127.49,0.456,187.71725,81.38658333,381.44,3.19948,26.6722,0.908724,0.916667,0.15804,-0.74607
20040110,-11.526,58.936,128.577,0.587,113.3380833,85.843875,385.252,3.33238,2.97319,0.666585,1,0.298878,-0.468813
20040111,-2.434,28.6,129.72,0.446,55.00016667,44.486125,392.925,3.58842,-5.72292,0.419459,0.708333,0.72305,0.182497
20040112,-3.559,56.223,130.921,0.487,108.121875,78.80275,388.59,4.66445,3.10843,0.600182,0.833333,0.785263,0.0337932
20040113,-12.261,94.285,132.179,0.677,181.3169167,95.38004167,384.429,3.70499,27.605,0.742689,1,0.416242,-0.395408
20040114,-14.478,52.68,133.493,0.345,101.30725,74.887375,387.428,1.15761,2.05338,0.757726,1,0.370911,-0.547665
20040115,-20.077,110.475,134.863,0.412,212.4511667,69.29416667,385.196,1.97384,35.3317,0.95302,1,0.143309,-0.850824
20040116,-17.812,125.032,136.289,0.457,240.4461667,60.49170833,385.758,2.5734,22.6499,0.761067,0.916667,0.327469,-0.486296
20040117,-10.008,26.52,137.77,0.488,50.999875,39.714,392.055,2.07351,-9.34081,0.646465,0.958333,1.23025,0.513766
20040118,-9.794,84.047,139.306,0.759,161.6282083,93.80733333,389.44,3.41975,10.7006,0.969453,1,1.13953,0.213649
20040119,-12.446,84.321,140.897,0.62,162.1557083,120.3858333,387.446,3.22478,25.1801,0.695983,1,0.660617,0.0577115
