TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20080101,-3.117,26.265,120.871,0.408,58.31429787,49.7004375,389.422,0.724318,3.1156,0.66556,1,0.676785,0.00330628
20080102,-10.449,74.937,121.491,0.693,130.6893958,57.8615625,381.507,2.96258,7.07519,0.61881,0.979167,0.495365,-0.103171
20080103,-7.445,36.678,122.17,0.973,78.41670833,68.536875,384.57,1.26173,-11.9507,0.481578,1,0.569945,0.104968
20080104,-1.756,41.619,122.908,1.573,86.03183333,69.118625,389.92,1.69906,-0.940167,0.911733,1,0.709092,-0.196469
20080105,0.753,21.969,123.703,1.026,53.7781875,44.3660625,393.498,0.137042,-10.8751,0.748088,1,0.758981,0.0110767
20080106,5.219,19.573,124.558,0.282,46.5893617,39.89104167,394.338,0.837005,-11.9253,0.700312,1,0.830296,0.0977133
20080107,4.689,11.559,125.471,0.071,26.349,24.569,396.805,-0.371757,-6.68047,0.799768,1,0.792059,-0.0290081
20080108,3.483,9.927,126.442,0.046,23.82385417,22.52175,396.262,0.902174,-14.1555,0.791663,1,0.754869,-0.0547677
20080109,0.427,59.984,127.471,1.447,118.1658542,74.96547917,385.464,3.80613,21.9466,0.75893,1,0.699312,-0.0650489
20080110,-0.682,37.808,128.557,1.13,77.10825,69.2505625,385.991,1.94345,6.17054,0.815863,1,0.682589,-0.131326
20080111,-2.318,32.305,129.701,0.537,74.21797872,61.0945,384.728,1.9774,4.57008,0.587767,1,0.653342,0.068803
20080112,-2.609,36.424,130.902,0.459,81.217625,69.412375,386.101,2.18719,14.4468,0.682707,1,0.646704,-0.028386
20080113,-0.385,17.212,132.16,0.192,41.70259574,35.01272917,390.576,-0.279501,-8.18348,0.645582,1,0.690061,0.0394903
20080114,-2.318,21.039,133.474,0.232,34.72583333,24.02208333,390.503,0.728735,10.6348,0.650851,1,0.642558,-0.00984258
20080115,-7.72,43.322,134.844,0.378,76.27054167,70.15520833,385.996,4.26671,10.3483,0.434685,1,0.517385,0.13194
20080116,-3.715,53.619,136.27,0.721,78.99997917,79.03320833,388.095,3.17082,-11.2277,0.459938,1,0.602197,0.145992
20080117,-1.874,59.186,137.751,0.809,119.7059574,95.96439583,394.714,5.95346,-4.90886,0.852044,1,0.645749,-0.214128
20080118,-6.789,45.464,139.287,0.827,92.23575,70.03929167,385,1.40382,3.19944,0.324549,1,0.563095,0.240843
20080119,-13.202,55.436,140.878,0.472,111.5920638,90.3913125,381.614,0.543667,8.55667,0.64624,1,0.428537,-0.204374
20080120,-13.491,35.712,142.522,0.666,71.66908333,63.5426875,380.744,1.809,-12.935,0.579706,1,0.44053,-0.126318
20080121,-11.476,43.943,144.22,0.634,91.15270833,80.40827083,380.838,2.39213,-3.76883,0.68647,1,0.514892,-0.164466
20080122,-10.442,56.192,145.971,0.532,111.2961702,70.711375,383.297,4.21928,11.093,0.584487,1,0.564856,-0.0168853
