TIMESTAMP,TA_F_MDS,SW_IN_F_MDS,SW_IN_POT,VPD_F_MDS,PPFD_IN,PPFD_DIF,CO2_F_MDS,LE_F_MDS,H_F_MDS,NEE_VUT_REF,NEE_VUT_REF_QC,RECO_NT_VUT_REF,GPP_NT_VUT_REF
20030101,6.73,102.232,172.343,2.786,232.8687292,-9999,396.109,16.5753,14.4095,0.900263,0.8125,3.18212,2.71758
20030102,8.854,54.663,172.968,2.355,122.5643125,-9999,398.907,10.7639,2.99172,0.908002,0.895833,3.62068,2.89163
20030103,8.492,107.532,173.651,1.563,240.3493125,-9999,409.948,12.8478,18.378,0.525541,0.979167,3.54903,3.31568
20030104,10.589,101.444,174.391,2.672,228.9516458,-9999,408.39,14.8574,10.0206,0.445426,0.9375,4.02794,3.72573
20030105,7.28,75.84,175.19,0.67,166.2241667,-9999,415.742,10.1197,11.7101,0.479246,0.958333,3.21442,3.09319
20030106,7.326,68.386,176.045,0.715,145.6906042,-9999,402.158,10.1534,7.21426,0.810098,0.979167,2.90371,2.49201
20030107,6.053,107.181,176.958,1.225,235.1511875,-9999,401.742,15.8795,17.9225,1.54501,0.958333,2.37133,1.24076
20030108,4.862,72.069,177.927,0.336,161.9038125,-9999,405.228,11.2711,15.4485,1.77715,0.958333,1.88774,0.291219
20030109,7.52,24.676,178.953,0.102,57.64189583,-9999,413.103,2.65994,0.433729,1.49168,0.916667,1.97201,0.595413
20030110,11.88,35.434,180.033,1.979,83.03885417,-9999,392.7,13.3383,-4.00204,0.51249,1,2.4861,1.88567
20030111,10.577,44.73,181.171,1.923,103.4549792,-9999,395.735,8.78377,-2.43412,0.671574,0.979167,2.2859,1.55318
20030112,12.058,68.35,182.362,2.701,154.96775,-9999,391.612,13.1926,3.17087,0.281427,0.979167,2.521,2.27192
20030113,12.084,104.305,183.609,3.596,235.1111458,-9999,398.941,18.7221,5.52941,-0.0928011,0.916667,2.71078,2.71747
20030114,10.225,46.303,184.909,1.319,103.2086875,-9999,397.037,11.203,-2.4975,0.541216,1,2.61813,2.1066
20030115,7.647,114.656,186.262,1.622,247.88625,-9999,395.605,17.9997,16.5895,0.0714818,1,2.39908,2.3199
20030116,8.032,130.083,187.668,2.279,283.8230417,-9999,392.727,20.7136,12.8167,-0.263537,0.958333,2.60633,2.87005
20030117,6.064,100.715,189.126,0.477,226.9949792,-9999,400.247,13.7486,18.9271,-0.194556,0.958333,2.30987,2.48943
20030118,4.559,61.326,190.636,0.063,133.76375,-9999,401.997,12.5514,18.7818,-0.0390864,1,2.10972,2.10694
20030119,4.437,44.526,192.196,0,98.01116667,-9999,407.484,8.2406,10.9483,0.071997,0.979167,2.11743,2.0169
20030120,4.263,48.57,193.807,0.151,107.3418958,-9999,407.479,8.8242,9.25604,-0.0774707,0.958333,2.12118,2.09096
20030121,8.721,76.797,195.468,0.815,176.9133542,-9999,409.401,15.7331,12.8399,0.821786,1,2.90387,2.08391
20030122,11.477,57.151,197.176,2.02,132.4970208,-9999,405.743,14.1467,1.12826,1.02545,0.833333,3.39225,2.37782
20030123,13.085,60.377,198.933,1.468,141.9613125,-9999,400.433,13.3627,6.67229,1.56507,1,3.6527,2.14596
20030124,10.24,79.073,200.736,0.701,178.5482292,-9999,410.655,17.3601,12.1041,0.300702,0.979167,3.08921,2.82861
20030125,12.159,88.133,202.586,1.114,195.9574792,-9999,407.329,19.6008,17.2974,1.07751,1,3.39908,2.34401
20030126,12.395,53.668,204.482,1.458,122.1331667,-9999,410.138,11.8572,4.21329,1.33664,1,3.3973,2.08123
20030127,12.343,58.215,206.423,1.262,132.52375,-9999,405.587,13.3243,6.785,0.921687,1,3.34987,2.45344
20030128,9.526,46.405,208.407,0.536,110.1091875,-9999,408.714,9.95351,3.5432,0.532016,0.979167,2.81643,2.28338
20030129,9.526,125.575,210.433,1.314,277.4,-9999,399.385,23.0834,12.835,-0.811916,0.979167,2.7892,3.63411
20030130,8.816,81.401,212.502,0.377,187.1574792,-9999,415.747,14.594,10.9728,-0.13047,0.958333,2.61888,2.7431
20030131,10.012,113.892,214.612,0.446,253.3244792,-9999,407.765,19.4209,20.971,-0.332751,0.958333,2.773,3.103
20030201,10.04,44.942,216.761,1.231,100.4053542,-9999,401.839,12.6005,-2.09447,0.99208,1,2.73636,1.71441
20030202,8.168,159.725,218.949,4.787,338.8859583,-9999,385.17,43.7928,9.28985,-0.257996,1,2.45409,2.71267
20030203,7.956,157.597,221.176,3.558,338.3703333,-9999,387.994,30.6182,15.0897,-0.685471,1,2.43485,3.12193
20030204,7.503,163.101,223.439,4.203,344.0957292,-9999,391.539,34.5788,14.9112,-0.595832,1,2.40879,3.00788
20030205,6.981,167.777,225.738,5.826,351.1193333,-9999,383.04,38.2375,8.0141,-0.712,1,2.35809,3.07177
20030206,7.535,159.345,228.072,5.286,336.9418958,-9999,387.768,32.9372,10.4711,-0.636079,1,2.44019,3.0678
20030207,8.703,166.649,230.439,7.114,348.0596875,-9999,383.014,38.5419,13.704,-0.629617,1,2.58885,3.30363
20030208,6.235,171.19,232.84,5.18,359.2313125,-9999,387.868,31.9911,16.5589,-0.604025,1,2.22517,2.84499
20030209,7.222,170.152,235.272,5.026,359.3784583,-9999,388.233,36.1453,11.2835,-0.666847,1,2.41794,3.11064
20030210,8.567,166.915,237.734,4.879,353.7879583,-9999,389.807,32.5201,13.1491,-0.661666,1,2.6846,3.34251
20030211,9.833,88.484,240.226,4.213,193.867875,-9999,389.922,24.4931,1.07408,-0.573618,0.958333,2.94183,3.61695
20030212,9.495,45.436,242.746,1.696,106.345875,-9999,407.941,11.4181,1.29087,0.702932,0.979167,2.93174,2.43346
20030213,12.726,71.034,245.293,0.78,161.2422292,-9999,412.853,14.435,7.30383,1.14513,1,3.58352,2.45974
20030214,11.918,88.917,247.865,1.395,195.6290208,-9999,395.957,20.2316,11.8141,-0.380622,0.979167,3.54819,3.70694
20030215,11.939,86.668,250.462,2.122,189.4270417,-9999,393.778,21.5297,3.12258,-0.0826969,0.958333,3.76307,4.15675
20030216,10.611,172.516,253.084,3.249,376.3654583,-9999,394.807,41.3898,15.8407,-1.35032,1,3.68628,5.15142
20030217,8.41,146.466,255.728,2.999,312.4613958,-9999,392.269,34.8273,13.7116,-1.09432,1,3.39542,4.50677
20030218,8.885,184.797,258.393,3.73,402.4419375,-9999,391.906,42.9473,15.07,-1.50653,0.958333,3.66399,5.18426
20030219,7.686,63.725,261.077,1.267,142.1344167,-9999,404.017,12.1013,-3.51064,0.302702,0.958333,3.48404,3.32308
20030220,7.556,190.389,263.781,2.601,414.5623542,-9999,392.893,41.7689,18.9097,-1.66598,0.75,3.64535,5.33007
20030221,9.543,187.242,266.502,3.119,404.3080208,-9999,389.078,41.4108,16.7945,-1.23391,1,4.23366,5.46858
20030222,10.377,191.995,269.241,3.907,409.6927292,-9999,393.053,44.0687,15.2735,-0.96252,1,4.55465,5.52855
20030223,10.885,191.39,271.995,4.698,413.4112083,-9999,392.299,46.505,9.95885,-1.2466,0.979167,4.76648,6.02375
